Time Zone: UT
Track limitation: between sunset and sunrise

Target,RA,Dec,Equinox
MCG-03-58-009,22:53:40.9,-17:28:44.0,2000.0

Beginning of Night,East Track Start (MCG-03-58-009),East Track End (MCG-03-58-009),East Track Length (MCG-03-58-009),West Track Start (MCG-03-58-009),West Track End (MCG-03-58-009),West Track Length (MCG-03-58-009),Moonrise,Moonset,Illuminated fraction of the Moon,Sunset,End of Evening Twilight,Beginning of Morning Twilight,Sunrise
2016-07-09,23:15:11,00:18:22,3791,04:16:20,05:19:57,3817,09:29,20:55,31.0,15:46,17:13,04:10,05:37
2016-07-10,23:11:15,00:14:27,3791,04:12:24,05:16:01,3817,10:01,21:49,40.3,15:46,17:13,04:10,05:37
2016-07-11,23:07:19,00:10:31,3791,04:08:28,05:12:06,3817,10:34,22:42,49.8,15:47,17:14,04:10,05:37
2016-07-12,23:03:23,00:06:35,3791,04:04:32,05:08:10,3817,11:08,23:34,59.2,15:47,17:14,04:10,05:36
2016-07-13,22:59:27,00:02:39,3791,04:00:36,05:04:14,3817,11:44,00:27,68.3,15:48,17:15,04:09,05:36
2016-07-14,22:55:32,23:58:43,3791,03:56:40,05:00:18,3817,n/a,01:20,76.8,15:49,17:15,04:09,05:36
2016-07-15,22:51:36,23:54:47,3791,03:52:45,04:56:22,3817,12:23,02:13,84.4,15:49,17:16,04:09,05:35
2016-07-16,22:47:40,23:50:51,3791,03:48:49,04:52:26,3817,13:05,03:06,90.8,15:50,17:16,04:09,05:35
2016-07-17,22:43:44,23:46:55,3791,03:44:53,04:48:30,3817,13:52,03:58,95.7,15:50,17:17,04:08,05:34
2016-07-18,22:39:48,23:42:59,3791,03:40:57,04:44:34,3817,14:43,04:48,98.8,15:51,17:17,04:08,05:34
2016-07-19,22:35:52,23:39:03,3791,03:37:01,04:40:38,3817,15:39,05:36,99.9,15:52,17:18,04:07,05:33
2016-07-20,22:31:56,23:35:07,3791,03:33:05,04:36:42,3817,16:37,06:22,98.7,15:52,17:18,04:07,05:33
2016-07-21,22:28:00,23:31:11,3791,03:29:09,04:32:46,3817,17:38,07:04,95.1,15:53,17:19,04:07,05:32
2016-07-22,22:24:04,23:27:16,3791,03:25:13,04:28:51,3817,18:40,07:45,89.3,15:53,17:19,04:06,05:32
2016-07-23,22:20:08,23:23:20,3791,03:21:17,04:24:55,3817,19:43,08:24,81.4,15:54,17:20,04:06,05:31
2016-07-24,22:16:12,23:19:24,3791,03:17:21,04:20:59,3817,20:46,09:03,71.8,15:55,17:20,04:05,05:31
2016-07-25,22:12:17,23:15:28,3791,03:13:25,04:17:03,3817,21:50,09:43,61.1,15:55,17:21,04:05,05:30
2016-07-26,22:08:21,23:11:32,3791,03:09:29,04:13:07,3817,22:54,10:25,49.6,15:56,17:21,04:04,05:29
2016-07-27,22:04:25,23:07:36,3791,03:05:34,04:09:11,3817,23:58,11:11,38.2,15:57,17:22,04:04,05:29
2016-07-28,22:00:29,23:03:40,3791,03:01:38,04:05:15,3817,01:02,11:59,27.4,15:57,17:22,04:03,05:28
2016-07-29,21:56:33,22:59:44,3791,02:57:42,04:01:19,3817,02:05,n/a,17.9,15:58,17:23,04:02,05:27
2016-07-30,21:52:37,22:55:48,3791,02:53:46,03:57:23,3817,03:04,12:52,10.0,15:59,17:23,04:02,05:26
2016-07-31,21:48:41,22:51:52,3791,02:49:50,03:53:27,3817,03:59,13:49,4.3,15:59,17:24,04:01,05:26
2016-08-01,21:44:45,22:47:56,3791,02:45:54,03:49:31,3817,04:49,14:48,1.0,16:00,17:24,04:01,05:25
2016-08-02,21:40:49,22:44:01,3791,02:41:58,03:45:36,3817,05:34,15:48,0.1,16:01,17:25,04:00,05:24
2016-08-03,21:36:53,22:40:05,3791,02:38:02,03:41:40,3817,06:15,16:48,1.5,16:01,17:25,03:59,05:23
2016-08-04,21:32:57,22:36:09,3791,02:34:06,03:37:44,3817,06:52,17:46,5.0,16:02,17:26,03:58,05:22
2016-08-05,21:29:01,22:32:13,3791,02:30:10,03:33:48,3817,07:27,18:43,10.3,16:02,17:26,03:58,05:21
2016-08-06,21:25:06,22:28:17,3791,02:26:14,03:29:52,3817,08:01,19:38,17.1,16:03,17:27,03:57,05:21
2016-08-07,21:21:10,22:24:21,3791,02:22:19,03:25:56,3817,08:34,20:32,25.0,16:04,17:27,03:56,05:20
2016-08-08,21:17:14,22:20:25,3791,02:18:23,03:22:00,3817,09:07,21:25,33.7,16:04,17:28,03:55,05:19
2016-08-09,21:13:18,22:16:29,3791,02:14:27,03:18:04,3817,09:42,22:17,42.9,16:05,17:29,03:54,05:18
2016-08-10,21:09:22,22:12:33,3791,02:10:31,03:14:08,3817,10:19,23:10,52.4,16:06,17:29,03:54,05:17
2016-08-11,21:05:26,22:08:37,3791,02:06:35,03:10:12,3817,11:00,00:03,61.8,16:06,17:30,03:53,05:16
2016-08-12,21:01:30,22:04:42,3791,02:02:39,03:06:16,3817,11:44,00:55,71.0,16:07,17:30,03:52,05:15
2016-08-13,20:57:34,22:00:46,3791,01:58:43,03:02:21,3817,n/a,01:47,79.5,16:08,17:31,03:51,05:14
2016-08-14,20:53:38,21:56:50,3791,01:54:47,02:58:25,3817,12:33,02:38,87.0,16:08,17:31,03:50,05:13
2016-08-15,20:49:42,21:52:54,3791,01:50:51,02:54:29,3817,13:26,03:28,93.2,16:09,17:32,03:49,05:12
2016-08-16,20:45:47,21:48:58,3791,01:46:55,02:50:33,3817,14:23,04:14,97.6,16:10,17:32,03:48,05:11
2016-08-17,20:41:51,21:45:02,3791,01:42:59,02:46:37,3817,15:24,04:59,99.8,16:10,17:33,03:47,05:10
2016-08-18,20:37:55,21:41:06,3791,01:39:04,02:42:41,3817,16:27,05:41,99.5,16:11,17:33,03:46,05:08
2016-08-19,20:33:59,21:37:10,3791,01:35:08,02:38:45,3817,17:31,06:22,96.7,16:12,17:34,03:45,05:07
2016-08-20,20:30:03,21:33:14,3791,01:31:12,02:34:49,3817,18:36,07:03,91.3,16:12,17:35,03:44,05:06
2016-08-21,20:26:07,21:29:18,3791,01:27:16,02:30:53,3817,19:41,07:43,83.6,16:13,17:35,03:43,05:05
2016-08-22,20:22:11,21:25:22,3791,01:23:20,02:26:57,3817,20:46,08:25,74.0,16:13,17:36,03:42,05:04
2016-08-23,20:18:15,21:21:27,3791,01:19:24,02:23:01,3817,21:51,09:10,63.3,16:14,17:36,03:41,05:03
2016-08-24,20:14:19,21:17:31,3791,01:15:28,02:19:06,3817,22:56,09:57,51.9,16:15,17:37,03:40,05:02
2016-08-25,20:10:23,21:13:35,3791,01:11:32,02:15:10,3817,23:58,10:48,40.5,16:15,17:37,03:38,05:00
2016-08-26,20:06:27,21:09:39,3791,01:07:36,02:11:14,3817,00:58,11:43,29.8,16:16,17:38,03:37,04:59
2016-08-27,20:02:32,21:05:43,3791,01:03:40,02:07:18,3817,01:53,n/a,20.2,16:17,17:38,03:36,04:58
2016-08-28,19:58:36,21:01:47,3791,00:59:45,02:03:22,3817,02:44,12:40,12.2,16:17,17:39,03:35,04:57
2016-08-29,19:54:40,20:57:51,3791,00:55:49,01:59:26,3817,03:30,13:38,6.1,16:18,17:40,03:34,04:55
2016-08-30,19:50:44,20:53:55,3791,00:51:53,01:55:30,3817,04:12,14:37,2.0,16:18,17:40,03:33,04:54
2016-08-31,19:46:48,20:49:59,3791,00:47:57,01:51:34,3817,04:50,15:35,0.2,16:19,17:41,03:31,04:53
2016-09-01,19:42:52,20:46:03,3791,00:44:01,01:47:38,3817,05:25,16:32,0.4,16:20,17:41,03:30,04:52
2016-09-02,19:38:56,20:42:07,3791,00:40:05,01:43:42,3817,05:59,17:28,2.6,16:20,17:42,03:29,04:50
2016-09-03,19:35:00,20:38:12,3791,00:36:09,01:39:46,3817,06:33,18:22,6.7,16:21,17:43,03:28,04:49
2016-09-04,19:31:04,20:34:16,3791,00:32:13,01:35:51,3817,07:06,19:16,12.3,16:22,17:43,03:26,04:48
2016-09-05,19:27:08,20:30:20,3791,00:28:17,01:31:55,3817,07:40,20:09,19.2,16:22,17:44,03:25,04:47
2016-09-06,19:23:12,20:26:24,3791,00:24:21,01:27:59,3817,08:16,21:01,27.2,16:23,17:44,03:24,04:45
2016-09-07,19:19:17,20:22:28,3791,00:20:25,01:24:03,3817,08:55,21:54,36.0,16:23,17:45,03:23,04:44
2016-09-08,19:15:21,20:18:32,3791,00:16:30,01:20:07,3817,09:37,22:46,45.4,16:24,17:46,03:21,04:43
2016-09-09,19:11:25,20:14:36,3791,00:12:34,01:16:11,3817,10:23,23:37,55.1,16:25,17:46,03:20,04:41
2016-09-10,19:07:29,20:10:40,3791,00:08:38,01:12:15,3817,11:14,00:28,64.7,16:25,17:47,03:19,04:40
2016-09-11,19:03:33,20:06:44,3791,00:04:42,01:08:19,3817,n/a,01:17,74.1,16:26,17:47,03:17,04:39
2016-09-12,18:59:37,20:02:48,3791,00:00:46,01:04:23,3817,12:08,02:04,82.6,16:27,17:48,03:16,04:37
2016-09-13,18:55:41,19:58:52,3791,23:56:50,01:00:27,3817,13:06,02:50,90.0,16:27,17:49,03:15,04:36
2016-09-14,18:51:45,19:54:57,3791,23:52:54,00:56:32,3817,14:08,03:33,95.7,16:28,17:49,03:13,04:35
2016-09-15,18:47:49,19:51:01,3791,23:48:58,00:52:36,3817,15:12,04:15,99.1,16:28,17:50,03:12,04:33
2016-09-16,18:43:53,19:47:05,3791,23:45:02,00:48:40,3817,16:18,04:56,99.9,16:29,17:51,03:11,04:32
2016-09-17,18:39:58,19:43:09,3791,23:41:06,00:44:44,3817,17:25,05:38,97.9,16:30,17:51,03:09,04:31
2016-09-18,18:36:02,19:39:13,3791,23:37:11,00:40:48,3817,18:32,06:21,93.1,16:30,17:52,03:08,04:29
2016-09-19,18:32:06,19:35:17,3791,23:33:15,00:36:52,3817,19:40,07:06,85.7,16:31,17:53,03:06,04:28
2016-09-20,18:28:10,19:31:21,3791,23:29:19,00:32:56,3817,20:46,07:54,76.5,16:32,17:53,03:05,04:27
2016-09-21,18:24:14,19:27:25,3791,23:25:23,00:29:00,3817,21:51,08:45,65.9,16:32,17:54,03:04,04:25
2016-09-22,18:20:18,19:23:29,3791,23:21:27,00:25:04,3817,22:53,09:39,54.8,16:33,17:55,03:02,04:24
2016-09-23,18:16:22,19:19:33,3791,23:17:31,00:21:08,3817,23:50,10:35,43.6,16:33,17:55,03:01,04:23
2016-09-24,18:12:26,19:15:38,3791,23:13:35,00:17:12,3817,00:42,11:33,33.0,16:34,17:56,02:59,04:21
2016-09-25,18:08:30,19:11:42,3791,23:09:39,00:13:17,3817,01:28,n/a,23.5,16:35,17:57,02:58,04:20
2016-09-26,18:04:34,19:07:46,3791,23:05:43,00:09:21,3817,02:11,12:31,15.2,16:35,17:58,02:56,04:19
2016-09-27,18:00:38,19:03:50,3791,23:01:47,00:05:25,3817,02:50,13:29,8.6,16:36,17:58,02:55,04:17
2016-09-28,17:56:43,18:59:54,3791,22:57:51,00:01:29,3817,03:25,14:25,3.9,16:37,17:59,02:54,04:16
2016-09-29,17:52:47,18:55:58,3791,22:53:56,23:57:33,3817,04:00,15:20,1.0,16:37,18:00,02:52,04:15
2016-09-30,17:48:51,18:52:02,3791,22:50:00,23:53:37,3817,04:33,16:15,0.0,16:38,18:01,02:51,04:13
2016-10-01,17:44:55,18:48:06,3791,22:46:04,23:49:41,3817,05:06,17:09,1.0,16:39,18:02,02:49,04:12
2016-10-02,17:40:59,18:44:10,3791,22:42:08,23:45:45,3817,05:40,18:02,3.7,16:39,18:02,02:48,04:11
2016-10-03,17:37:03,18:40:14,3791,22:38:12,23:41:49,3817,06:15,18:54,8.1,16:40,18:03,02:46,04:10
2016-10-04,17:33:07,18:36:18,3791,22:34:16,23:37:53,3817,06:53,19:47,14.0,16:41,18:04,02:45,04:08
2016-10-05,17:29:11,18:32:23,3791,22:30:20,23:33:58,3817,07:33,20:39,21.2,16:41,18:05,02:44,04:07
2016-10-06,17:25:15,18:28:27,3791,22:26:24,23:30:02,3817,08:17,21:30,29.4,16:42,18:06,02:42,04:06
2016-10-07,17:21:19,18:24:31,3791,22:22:28,23:26:06,3817,09:04,22:20,38.5,16:43,18:07,02:41,04:04
2016-10-08,17:17:23,18:20:35,3791,22:18:32,23:22:10,3817,09:56,23:09,48.2,16:43,18:07,02:39,04:03
2016-10-09,17:13:28,18:16:39,3791,22:14:36,23:18:14,3817,10:51,23:56,58.3,16:44,18:08,02:38,04:02
2016-10-10,17:09:32,18:12:43,3791,22:10:41,23:14:18,3817,11:50,00:41,68.3,16:45,18:09,02:36,04:01
2016-10-11,17:05:36,18:08:47,3791,22:06:45,23:10:22,3817,n/a,01:24,77.8,16:46,18:10,02:35,03:59
2016-10-12,17:01:40,18:04:51,3791,22:02:49,23:06:26,3817,12:51,02:06,86.3,16:46,18:11,02:34,03:58
2016-10-13,16:57:44,18:00:55,3791,21:58:53,23:02:30,3817,13:55,02:47,93.2,16:47,18:12,02:32,03:57
2016-10-14,16:53:48,17:56:59,3791,21:54:57,22:58:34,3817,15:01,03:28,97.9,16:48,18:13,02:31,03:56
2016-10-15,16:49:52,17:53:04,3791,21:51:01,22:54:38,3817,16:09,04:11,99.9,16:49,18:14,02:29,03:55
2016-10-16,16:49:50,17:49:08,3557,21:47:05,22:50:43,3817,17:18,04:56,98.9,16:49,18:15,02:28,03:54
2016-10-17,16:50:36,17:45:12,3276,21:43:09,22:46:47,3817,18:28,05:44,94.9,16:50,18:16,02:27,03:52
2016-10-18,16:51:22,17:41:16,2994,21:39:13,22:42:51,3817,19:36,06:35,88.3,16:51,18:17,02:25,03:51
2016-10-19,16:52:08,17:37:20,2711,21:35:17,22:38:55,3817,20:42,07:30,79.6,16:52,18:18,02:24,03:50
2016-10-20,16:52:55,17:33:24,2428,21:31:21,22:34:59,3817,21:43,08:28,69.6,16:52,18:19,02:23,03:49
2016-10-21,16:53:42,17:29:28,2145,21:27:26,22:31:03,3817,22:38,09:27,58.8,16:53,18:20,02:21,03:48
2016-10-22,16:54:30,17:25:32,1861,21:23:30,22:27:07,3817,23:28,10:26,48.0,16:54,18:21,02:20,03:47
2016-10-23,16:55:18,17:21:36,1577,21:19:34,22:23:11,3817,00:12,11:24,37.6,16:55,18:22,02:19,03:46
2016-10-24,16:56:07,17:17:40,1293,21:15:38,22:19:15,3817,00:51,n/a,28.0,16:56,18:23,02:17,03:45
2016-10-25,16:56:56,17:13:44,1008,21:11:42,22:15:19,3817,01:28,12:20,19.5,16:56,18:24,02:16,03:44
2016-10-26,16:57:45,17:09:49,723,21:07:46,22:11:23,3817,02:02,13:16,12.3,16:57,18:25,02:15,03:43
2016-10-27,16:58:35,17:05:53,437,21:03:50,22:07:28,3817,02:35,14:10,6.7,16:58,18:26,02:13,03:42
2016-10-28,16:59:25,17:01:57,151,20:59:54,22:03:32,3817,03:07,15:03,2.8,16:59,18:27,02:12,03:41
2016-10-29,n/a,n/a,0,20:55:58,21:59:36,3817,03:41,15:56,0.6,17:00,18:29,02:11,03:40
2016-10-30,n/a,n/a,0,20:52:02,21:55:40,3817,04:15,16:49,0.2,17:01,18:30,02:10,03:39
2016-10-31,n/a,n/a,0,20:48:07,21:51:44,3817,04:52,17:42,1.6,17:01,18:31,02:09,03:38
2016-11-01,n/a,n/a,0,20:44:11,21:47:48,3817,05:31,18:34,4.7,17:02,18:32,02:07,03:37
2016-11-02,n/a,n/a,0,20:40:15,21:43:52,3817,06:14,19:26,9.5,17:03,18:33,02:06,03:36
2016-11-03,n/a,n/a,0,20:36:19,21:39:56,3817,07:00,20:16,15.7,17:04,18:34,02:05,03:35
2016-11-04,n/a,n/a,0,20:32:23,21:36:00,3817,07:49,21:05,23.3,17:05,18:35,02:04,03:34
2016-11-05,n/a,n/a,0,20:28:27,21:32:04,3817,08:42,21:52,32.1,17:06,18:37,02:03,03:34
2016-11-06,n/a,n/a,0,20:24:31,21:28:08,3817,09:38,22:37,41.7,17:07,18:38,02:02,03:33
2016-11-07,n/a,n/a,0,20:20:35,21:24:13,3817,10:36,23:19,51.9,17:08,18:39,02:01,03:32
2016-11-08,n/a,n/a,0,20:16:39,21:20:17,3817,11:37,00:00,62.4,17:09,18:40,02:00,03:31
2016-11-09,n/a,n/a,0,20:12:43,21:16:21,3817,n/a,00:39,72.7,17:09,18:41,01:59,03:31
2016-11-10,n/a,n/a,0,20:08:47,21:12:25,3817,12:39,01:19,82.2,17:10,18:43,01:58,03:30
2016-11-11,n/a,n/a,0,20:04:52,21:08:29,3817,13:45,02:00,90.2,17:11,18:44,01:57,03:29
2016-11-12,n/a,n/a,0,20:00:56,21:04:33,3817,14:52,02:42,96.1,17:12,18:45,01:56,03:29
