Name,Target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z,z_target,impact,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,Vhel_measured,e_Vhel_measured,Vrot,e_Vrot,Vrot_corrected,e_Vrot_corrected,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,PA_observed,azimuth,approach_side,PA_adjust,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC5907,SDSSJ152053.59+571122.1,no,x,x,x,x,x,x,x,x,x,x,x,x,0.002225,0.02952,286.146,228.97404,56.32877,230.22375,57.18972222,667,667,3,227.4,6.4,227.4,6.4,843,14.9,50.62,8.1,9.9,1.6,260.6,81,0,155,155,63.2,southeast,65,.SAS5*/,755.36,0.11,155,101322,3,7.7,SA(s)c:_sp_HII:,0,TF,11.1,12.1,1.2,1.1,0.49,0.45
NGC5907,RBS1503,x,x,x,x,x,x,x,x,x,x,x,x,x,0.002225,0.099,477.586,228.97404,56.32877,232.28125,56.26861111,667,667,3,227.4,6.4,227.4,6.4,843,14.9,50.62,8.1,9.9,1.6,260.6,81,0,155,155,63.1,southeast,65,.SAS5*/,755.36,0.11,155,101322,3,7.7,SA(s)c:_sp_HII:,0,TF,11.1,12.1,1.2,1.1,0.49,0.45
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC06446,RX_J1117.6+5301,Lya,"601, 779",1,685,342,25,1.09E+14,1.31E+13,50.6,2.8,84.2,4.6,hard to fit,0.002153,0.15871,416.788,171.66858,53.74668,169.41875,53.03083333,645,645,1,79.4,1,79.4,1,866,15.7,17.61,11.8,1.8,1.7,125.77,48,2,10,10,52.1,northeast,-80,.SA.7..,212.89,0.65,10,-99,-99,-99.99,SAd,0,TF,13.5,15.1,0.15,0.066,0.036,0.015
UGC06446,SDSSJ112448.30+531818.0,Lya,"558, 748",1,664,339,32,1.01E+14,1.41E+13,52.1,3.8,86.8,6.2,hard to fit,0.002153,0.53151,142.916,171.66858,53.74668,171.20125,53.30527778,645,645,1,79.4,1,79.4,1,866,15.7,17.61,11.8,1.8,1.7,125.77,48,2,10,10,22.3,northeast,-80,.SA.7..,212.89,0.65,10,-99,-99,-99.99,SAd,0,TF,13.5,15.1,0.15,0.066,0.036,0.015
UGC06446,SDSSJ112448.30+531818.0,Lya,"984, 1060",1,1019,71,20,1.51E+13,4.73E+12,27.5,3.4,45.8,5.7,hard to fit,0.002153,0.53151,142.916,171.66858,53.74668,171.20125,53.30527778,645,645,1,79.4,1,79.4,1,866,15.7,17.61,11.8,1.8,1.7,125.77,48,2,10,10,22.3,northeast,-80,.SA.7..,212.89,0.65,10,-99,-99,-99.99,SAd,0,TF,13.5,15.1,0.15,0.066,0.036,0.015
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UGC06399,SBS1116+523,Lya,"650, 788",2,731,259,18,7.21E+13,6.84E+12,41.6,2.2,69.3,3.7,blended?,0.00264,0.35568,470.757,170.84676,50.89271,169.9495833,52.09805556,791,791,1,88.2,1,88.2,1,1020,20.3,18.67,5.973,2.5,2.1,130.95,71,4,142,142,13.4,northwest,-128,.S..9*.,165.25,0.28,142,-99,-99,-99.99,Sm:,0,TF,13.7,14.4,0.21,0.12,0.11,0.064
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3726,CSO1208,Lya,"670, 806",1,731,470,53,1.59E+14,4.85E+13,54.2,3.5,90.3,5.8,"blended with Lya@874, hard to fit",0.002887,0.115,368.942,173.33801,47.02921,175.1995833,46.36805556,866,866,1,167.2,1.3,167.2,1.3,1109,14.7,31.4,19.15,6.5,4,187.45,52,3,25,25,87.8,northeast,-65,.SXR5..,369.96,0.69,10,100008,65,10.5,SAB(r)c_HII,0,TF,10.9,15.9,1.5,1.4,0.015,0.014
NGC3726,CSO1208,Lya,"806, 970",6,874,506,51,1.76E+14,4.74E+13,58.7,3.9,97.7,6.6,"blended with Lya@731, hard to fit",0.002887,0.115,368.942,173.33801,47.02921,175.1995833,46.36805556,866,866,1,167.2,1.3,167.2,1.3,1109,14.7,31.4,19.15,6.5,4,187.45,52,3,25,25,87.8,northeast,-65,.SXR5..,369.96,0.69,10,100008,65,10.5,SAB(r)c_HII,0,TF,10.9,15.9,1.5,1.4,0.015,0.014
NGC3726,RX_J1142.7+4625,x,x,x,x,x,x,x,x,x,x,x,x,x,0.002887,0.115,440.252,173.33801,47.02921,175.6716667,46.41,866,866,1,167.2,1.3,167.2,1.3,1109,14.7,31.4,19.15,6.5,4,187.45,52,3,25,25,86,northeast,-65,.SXR5..,369.96,0.69,10,100008,65,10.5,SAB(r)c_HII,0,TF,10.9,15.9,1.5,1.4,0.015,0.014
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3067,3C232,Lya,"920, 1492",1,1408,2092,42,1.13E+15,1.42E+14,212.8,6.2,354.4,10.3,"hard to fit, blended, very uncertain",0.004923,0.5306,10.921,149.58783,32.36989,149.5870833,32.40055556,1476,1476,4,148.2,2.7,148.2,2.7,1709,20.4,15.54,5.904,2,0.78,115.37,68,2,105,105,73.8,northwest,-165,.SXS2$.,147.28,0.38,105,112220,1,17.3,SAB(s)ab?_HII,0,TF,12.8,13.1,0.5,0.31,0.38,0.23
NGC3067,3C232,Lya,"1440, 1600",1,1510,700,15,4.55E+14,1.02E+14,70.3,3.7,117.1,6.2,"hard to fit, blended, very uncertain",0.004923,0.5306,10.921,149.58783,32.36989,149.5870833,32.40055556,1476,1476,4,148.2,2.7,148.2,2.7,1709,20.4,15.54,5.904,2,0.78,115.37,68,2,105,105,73.8,northwest,-165,.SXS2$.,147.28,0.38,105,112220,1,17.3,SAB(s)ab?_HII,0,TF,12.8,13.1,0.5,0.31,0.38,0.23
NGC3067,3C232,Lya,"1530, 2154",,1641,1635,47,8.22E+14,1.24E+14,191.9,5.3,319.5,8.8,"hard to fit, blended, very uncertain",0.004923,0.5306,10.921,149.58783,32.36989,149.5870833,32.40055556,1476,1476,4,148.2,2.7,148.2,2.7,1709,20.4,15.54,5.904,2,0.78,115.37,68,2,105,105,73.8,northwest,-165,.SXS2$.,147.28,0.38,105,112220,1,17.3,SAB(s)ab?_HII,0,TF,12.8,13.1,0.5,0.31,0.38,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3067,SDSSJ095914.80+320357.0,x,x,x,x,x,x,x,x,x,x,x,x,x,0.004923,0.56462,127.54,149.58783,32.36989,149.8116667,32.06583333,1476,1476,4,148.2,2.7,148.2,2.7,1709,20.4,15.54,5.904,2,0.78,115.37,68,2,105,105,43,northwest,-165,.SXS2$.,147.28,0.38,105,112220,1,17.3,SAB(s)ab?_HII,0,TF,12.8,13.1,0.5,0.31,0.38,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC3067,RX_J1002.9+3240,x,x,x,x,x,x,x,x,x,x,x,x,x,0.004923,0.83,359.156,149.58783,32.36989,150.7270833,32.6775,1476,1476,4,148.2,2.7,148.2,2.7,1709,20.4,15.54,5.904,2,0.78,115.37,68,2,105,105,32.8,northwest,-165,.SXS2$.,147.28,0.38,105,112220,1,17.3,SAB(s)ab?_HII,0,TF,12.8,13.1,0.5,0.31,0.38,0.23
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NGC2770,FBQSJ0908+3246,Lya,"1868, 1950",1,1915,202,17,6.65E+13,1.01E+13,27.1,3.2,45.1,5.3,blended with Lya@1982,0.006494,0.25989,204.033,137.39045,33.12353,137.1616667,32.77222222,1947,1947,2,148,6,150,10,2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,58.7,,,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
NGC2770,FBQSJ0908+3246,Lya,"1950, 2078",6,1982,230,23,6.29E+13,8.55E+12,42.1,3.2,70.1,5.3,blended with Lya@1982,0.006494,0.25989,204.033,137.39045,33.12353,137.1616667,32.77222222,1947,1947,2,148,6,150,10,2143,29.2,21.53,5.598,3.1,0.8,144.48,75,1,150,150,58.7,,,.SAS5*.,228.11,0.3,148,112343,1,21.9,SA(s)c:,0,TF,12.2,13.7,1.8,1.3,0.46,0.31
