AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
MS1228.6+1219,1286,SDSSJ123102.59+123414.1,59,"('187.804583333', '12.0519444444')","(187.76079, 12.57059)",3.294162803301718e-28,0.0,24.034925927759257,2.023857702507763,190.86111910827137,x,1492.0,1192.0,-94.0,21.01341491,x,1.6,1.2,39.6,114.0,61.3,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.003976
MS1228.6+1219,1286,IC3349,59,"('187.804583333', '12.0519444444')","(186.6961, 12.45398)",4.0357036556003107e-29,0.0,46.7780388647478,8.607438643406063,377.10516345273373,x,1711.0,1411.0,125.0,18.700001,x,4.2,3.8,25.8,25.0,85.3,IC3349,.E?....,29.4,-99,dE1,dE1,0.004707
MS1228.6+1219,1286,NGC4468,59,"('187.804583333', '12.0519444444')","(187.37874, 14.04909)",7.321635069111184e-32,0.0,55.63546142004417,12.548466041712032,459.2492992200147,x,1208.9,909.0,-377.0,12.9,x,5.4,3.6,48.5,x,84.8,NGC4468,.LA.-?.,40.7,73.0,SA0-?,SA0-?,0.003032
MS1228.6+1219,1286,VCC1210,59,"('187.804583333', '12.0519444444')","(187.41042, 11.29897)",1.456028702959669e-32,0.0,43.6566776107277,7.407563702054812,371.253740791014,x,1784.9,1485.0,199.0,25.13888433,x,3.8,3.5,21.6,39.0,11.9,0,x,x,x,"dE0,N","dE0,N",0.004952
MS1228.6+1219,1286,SDSSJ122746.27+112606.4,59,"('187.804583333', '12.0519444444')","(186.94279, 11.43511)",8.119310451628839e-35,0.0,46.7780388647478,8.607438643406063,414.39642096934057,x,1612.9,1313.0,27.0,22.71684979,x,4.2,2.6,52.4,73.0,19.2,0,x,x,x,x,x,0.004379
MS1228.6+1219,1286,SDSSJ123329.47+121017.4,59,"('187.804583333', '12.0519444444')","(188.37279, 12.17152)",4.321508457340305e-39,0.0,24.034925927759257,2.023857702507763,225.86845024046866,x,1616.9,1317.0,31.0,22.77272547,x,1.6,1.1,45.6,54.0,23.9,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.004393
MS1228.6+1219,1286,VCC1020,59,"('187.804583333', '12.0519444444')","(186.88332, 11.61519)",9.869723189138072e-40,0.0,43.6566776107277,7.407563702054812,413.24759794253805,x,1677.9,1378.0,92.0,23.63267859,x,3.8,2.8,42.3,73.0,8.9,0,x,x,x,"dE4,N: or ImIV","dE4,N: or ImIV",0.004595
MS1228.6+1219,1286,VCC1523,59,"('187.804583333', '12.0519444444')","(188.45282, 12.78004)",8.901302844654891e-41,0.0,35.36218090933294,4.685296148590822,338.4213666452926,x,1426.9,1127.0,-159.0,20.09687158,x,2.8,2.5,24.5,61.0,20.0,0,x,x,x,"dE0,N","dE0,N",0.003758
MS1228.6+1219,1286,SDSSJ123111.87+124101.0,59,"('187.804583333', '12.0519444444')","(187.79949, 12.68363)",7.9925560113437e-43,0.0,25.061655495164096,2.2165288177689004,246.74268768296875,x,1589.0,1289.0,3.0,22.37960969,x,1.7,1.4,29.5,29.0,29.5,0,x,x,x,x,x,0.004301
MS1228.6+1219,1286,SDSSJ123007.57+123631.0,59,"('187.804583333', '12.0519444444')","(187.53156, 12.60861)",1.0295304952539447e-44,0.0,22.988094234022373,1.8371173070873836,231.2430219576425,x,1524.0,1224.0,-62.0,21.46437818,x,1.5,1.3,29.5,152.0,2.4,0,x,x,x,x,x,0.004082
MS1228.6+1219,1286,VCC1099,59,"('187.804583333', '12.0519444444')","(187.09989, 11.42044)",4.901430414122896e-45,0.0,44.44619413241409,7.701882886671284,442.5773765866632,x,1924.9,1625.0,339.0,27.11114158,x,3.9,2.7,45.6,8.0,39.5,0,x,x,x,"dE4,N","dE4,N",0.005421
MS1228.6+1219,1286,IC3446,59,"('187.804583333', '12.0519444444')","(187.84558, 11.49239)",4.5102697784972346e-48,0.0,42.860693087198044,7.117092102818398,447.4558391278494,x,1551.9,1252.0,-34.0,45.700001,x,3.7,1.6,63.9,45.0,49.1,IC3446,.S?....,64.1,-99,SmIII/BCD,SmIII/BCD,0.004176
MS1228.6+1219,1286,SDSSJ123344.73+105939.8,59,"('187.804583333', '12.0519444444')","(188.43641, 10.9944)",5.153279206611208e-53,0.0,40.43155575527607,6.269290230959163,443.02867150618357,x,1470.7,1171.0,-115.0,20.71420824,x,3.4,0.6,79.9,x,24.7,IC3499,.S..0..,70.2,125.0,x,x,0.003906
MS1228.6+1219,1286,VCC1044,59,"('187.804583333', '12.0519444444')","(186.94278, 11.43511)",5.855810442994613e-55,0.0,37.08631354819165,5.196152422706632,414.39955468570366,x,1612.9,1313.0,27.0,22.71684979,x,3.0,1.5,59.3,x,x,0,x,x,x,"dE5,N","dE5,N",0.00438
MS1228.6+1219,1286,SDSSJ123340.31+124413.5,59,"('187.804583333', '12.0519444444')","(188.41798, 12.7371)",1.9942528830532848e-55,0.0,28.99554748433651,3.043189116699782,324.8316853206111,x,1451.9,1152.0,-134.0,20.44904473,x,2.1,2.1,8.1,15.0,26.2,0,x,x,x,x,x,0.003844
MS1228.6+1219,1286,VCC1340,59,"('187.804583333', '12.0519444444')","(187.79341, 13.09734)",7.890447228030083e-61,0.0,40.43155575527607,6.269290230959163,472.8576110195447,x,1840.0,1540.0,254.0,25.91485233,x,3.4,2.7,37.8,151.0,28.4,0,x,x,x,"dE0,N","dE0,N",0.005137
MS1228.6+1219,1286,VCC1642,59,"('187.804583333', '12.0519444444')","(188.97138, 11.68192)",9.208477746201113e-74,0.0,37.08631354819165,5.196152422706632,480.86917351695945,x,1629.7,1330.0,44.0,22.9537983,x,3.0,2.7,24.5,66.0,42.0,0,x,x,x,"dE2,N","dE2,N",0.004438
MS1228.6+1219,1286,SDSSJ122531.47+110930.1,59,"('187.804583333', '12.0519444444')","(186.38117, 11.15836)",2.9041827798449468e-93,0.0,33.599406811092535,4.192374029115246,486.01128097396696,x,1193.8,894.0,-392.0,16.81477459,x,2.6,1.8,47.9,39.0,18.3,0,x,x,x,x,x,0.002982
MS1228.6+1219,1286,VCC0967,59,"('187.804583333', '12.0519444444')","(186.76594, 12.86505)",9.094744851161817e-174,0.0,22.988094234022373,1.8371173070873836,458.5373358282986,x,1435.0,1135.0,-151.0,20.21126442,x,1.5,1.1,43.0,x,x,0,x,x,x,dE4,dE4,0.003786
MS1228.6+1219,1286,AGC223724,59,"('187.804583333', '12.0519444444')","(187.39017, 13.196)",2.9402180677172355e-258,0.0,18.559272685333866,1.153689732987167,451.8954028063756,x,1515.0,1215.0,-71.0,21.33775885,x,1.1,0.7,49.7,x,x,0,x,x,x,x,x,0.004053
MS1228.6+1219,1286,UMaDwarf,59,"('187.804583333', '12.0519444444')","(158.72, 51.92)",-99,-99,-99,-99,81.53539010453026,x,1313.0,1101.0,-185.0,0.101,x,x,x,x,x,x,0,x,x,x,dSph,dSph,0.003673
