AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
PG1302-102,7576,PKS1302-102:[CPC2008]1027,1,"('196.3875', '-10.55556')","(196.49167, -10.41389)",-99,-99,-99,-99,336.4626924,x,7829.3,253.3,110.2720804,x,x,x,x,x,x,0,x,x,x,x,x,0.02521,0.2784,SP,1,1,1,7576,"7542, 7610",37pm4,7.57E12 pm 8.99E11,21.2pm 2.7,"Lya, d:Lya","Lya labeled at 7576, d:Lya at 7573, center is 7576 : ONLY 1 GALAXY"
SBS1108+560,732,UGC06225,3,"('167.88375', '55.79028')","(167.87904, 55.67411)",0.888081863,0.892199662,228.3555832,270.2492035,29.04206628,x,910.4,178.4,14.32,x,41.8,9.2,77.3,83,81.7,NGC3556,.SBS6./,75.1,80,SB(s)cd        HII,SB(s)cd        HII,0.002332,0.765,DG,1,1,1,732,"529, 885",1082pm82,2.07E14 pm 3.34E13,136.9pm 2.8,d:Lya,"d:Lya marked at 732, center is 707"
SBS1108+560,929,UGC06225,3,"('167.88375', '55.79028')","(167.87904, 55.67411)",1.950964074,1.960010175,228.3555832,270.2492035,29.04206628,x,910.4,-18.6,14.32,x,41.8,9.2,77.3,83,81.7,NGC3556,.SBS6./,75.1,80,SB(s)cd        HII,SB(s)cd        HII,0.002332,0.765,DG,1,1,1,929,"895, 1017",284pm51,5.69E13 pm 1.78E13,46.1pm 1.8,d:Lya,"d:Lya marked at 929, center is 956"
PG1216+069,1903,NGC4260,21,"('184.83708', '6.64389')","(184.84267, 6.09868)",0.001481514,0.002188253,208.3540511,221.4224379,384.4546253,x,2255.7,352.7,40.4,x,36.6,17.6,61.3,45,45.6,NGC4260,.SBS1..,59.9,58,SB(s)a;Sy      LINER,SB(s)a;Sy      LINER,0.006531,0.3313,SP,0,0,1,1903,"1461, 2345",2269pm33,1.11E15 pm 2.79E13,230.0pm 3.6,"d:Lya, Lya","DLA, bit far away, 1125, 1449, 2971, and 3040 Lya and AGN-Ly series markers over nothing, near NGC4260 & many other galaxies, center is 1903; p : VIRIAL AND CUSTOM INCLUDE MISMATCH"
PG1216+069,3813,SDSSJ121903.72+063342.9,1,"('184.83708', '6.64389')","(184.76552, 6.56194)",0.007219862,2.28E-13,71.06873748,21.36663287,110.1638657,x,4131,318,58.18263304,x,7.7,3.7,61.3,156,64.9,0,x,x,x,x,x,0.012787,0.3313,SP,1,1,1,3813,"3692, 3934",360pm10,9.78E13 pm 3.17E12,62.7pm 2.3,"Lya, d:Lya","Lya labeled at 3775, 3812, d:Lya labeled at 3797, center is 3797 : ONLY 1 GALAXY"
SDSSJ080908.13+461925.6,2281,UGC04260,2,"('122.28375', '46.32389')","(122.78651, 46.4654)",0.00018021,1.42E-35,75.46623913,24.34551293,217.6633981,x,2391,110,33.299999,x,8.4,3.5,65.2,110,42.2,UGC4260,.I..9*.,24.2,-99,Im:,Im:,0.007519,0.6563,SP,1,1,1,2281,"2228, 2336",85pm12,1.79e13 pm 2.85E12,33.1pm 2.7,d:Lya,"d:Lya marked at 2281, center is 2282"
SDSSJ080908.13+461925.6,6900,SDSSJ080842.74+461828.9,1,"('122.28375', '46.32389')","(122.17811, 46.30809)",0.013142969,3.28E-05,103.0851275,47.95798161,132.6306394,x,7227.2,327.2,101.791107,x,13.2,10.6,36.9,74,3.8,0,x,x,x,x,x,0.023656,0.6563,SP,1,1,1,6900,"6864, 6970",151pm10,3.54E13 pm 2.81E12,38.6pm 2.6,d:Lya,"d:Lya labeled at 6900, center is 6917 : ONLY 1 GALAXY"
SDSSJ080908.13+461925.6,7117,SDSSJ080842.74+461828.9,1,"('122.28375', '46.32389')","(122.17811, 46.30809)",0.141003105,0.000351986,103.0851275,47.95798161,132.6306394,x,7227.2,110.2,101.791107,x,13.2,10.6,36.9,74,3.8,0,x,x,x,x,x,0.023656,0.6563,SP,1,1,1,7117,"7024, 7180",176pm12,4.06E13 pm 3.26E12,50.5pm 3.7,d:Lya,"d:Lya labeled at 7117, center is 7102 : ONLY 1 GALAXY"
TON1009,1961,NGC2770,5,"('137.27542', '32.60861')","(137.39045, 33.12353)",0.072366885,0.082646559,204.4092283,212.4100186,274.0148385,x,2143.1,182.1,29.967,x,35.6,7.3,78.1,x,42.7,NGC2770,.SAS5*.,72.4,148,SA(s)c:,SA(s)c:,0.006494,0.809,RT,1,1,1,1961,"1854, 2048",350pm21,1.05E14 pm 8.11E12,55.0pm3.5,Lya,"Lya labeled at 1961 _ I measure 1951, looks blended"
TON1009,3792,KUG0906+333ANED01,2,"('137.27542', '32.60861')","(137.33077, 33.12324)",2.52E-11,1.07E-51,100.9194509,45.79467218,495.4975368,x,3900.9,108.9,54.94195498,x,12.8,5.6,64.1,x,x,0,x,x,x,x,x,0.012359,0.809,RT,1,1,1,3792,"3750, 3832",132pm12,3.44E13 pm 3.81E12,26.3pm 2.5,Lya,Lya labeled at 3792 _ I measure 3791. Ambigous
TON1009,4285,IC2439,4,"('137.27542', '32.60861')","(137.16024, 32.59295)",0.403347412,0.268201585,153.4747113,113.9204766,108.5992962,x,4494.8,209.8,63.30638611,x,23.5,7.5,71.3,30,50.8,MCG6-20-32,.L?....,-99,-99,S0?,S0?,0.01434,0.809,RT,1,1,1,4285,"4200, 4390",343pm17,1.26E14 pm 1.06E13,42.1pm 3.5,Lya,"Lya labeled at 4285 _ I measure 4295, loose galaxy group"
RX_J1330.8+3119,1740,SDSSJ133025.22+304141.9,11,"('202.72167', '31.32556')","(202.60509, 30.69498)",2.73E-75,0,25.0616555,2.216528818,325.6855514,x,2075.2,335.2,29.22781275,x,1.7,0.8,62.6,105,84,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.006,0.241,DG,0,1,1,1740,"1654, 1810",153pm18,3.35E13 pm 4.54E12,53.7pm 2.3,f:Lya,"f:Lya labeled at 1740, I measure 1732"
RX_J1330.8+3119,2654,RCS05100405241,1,"('202.72167', '31.32556')","(202.1176, 30.6804)",-99,-99,-99,-99,483.11576,x,2375.8,-278.2,33.46156499,x,x,x,x,x,x,0,x,x,x,x,x,0.007,0.241,DG,0,1,1,2654,"2560, 2764",423pm17,1.56E14 pm 1.12E13,49.8pm 2.9,f:Lya,"f:Lya labeled at 2654, center is 2662. This galaxy is tiny, far away, and has no info (phot redshifts also).  : ONLY 1 GALAXY"
RX_J1330.8+3119,4839,UGC08496NED02,5,"('202.72167', '31.32556')","(202.5724, 31.33278)",0.013850576,8.30E-07,100.9194509,45.79467218,160.2412903,x,5104.2,265.2,71.89071302,x,12.8,6.6,58.7,47,46.2,UGC8496,.S?....,59.1,-99,HII,HII,0.016108,0.241,DG,1,1,1,4839,"4735, 4943",413pm16,1.42E14 pm 9.19E12,51.4pm 2.6,f:Lya,"good. Several other, closer galaxies. Just a bit too ambiguous, center is 4839"
RX_J1330.8+3119,7401,UGC08492,4,"('202.72167', '31.32556')","(202.52721, 31.38811)",0.008401369,0.010142602,204.0128691,211.5156614,335.4060644,x,7689.2,288.2,108.2987054,x,35.5,34.1,16.2,70,40.6,UGC8492,.S?....,12.2,-99,S0,S0,0.02473,0.241,DG,1,0,1,7401,"7325, 7497",330pm15,1.09E14 pm 7.83E12,45.6pm 2.3,f:Lya,"f:Lya labeled at 7401, center is 7411. Somewhat ambiguous, and totally face on (can't determine azimuth). UGC08498 is b = 580, and is huge : VIRIAL AND CUSTOM INCLUDE MISMATCH"
SDSSJ140428.30+335342.0,7884,KUG1402+341,2,"('211.11792', '33.895')","(211.12182, 33.95337)",0.166376558,0.170042061,203.6161637,210.6225629,117.5153834,x,8177.5,293.5,115.175796,x,35.4,12.7,68.9,120,63.2,0,x,x,x,Spiral,Spiral,0.026415,0.549,RT,1,0,1,7884,"7745, 8023",889pm28,2.82E14 pm 2.03E13,93.4pm 1.2,working,center is 7884. SDSSJ140425.82+335552.8 is probably a large satellite galaxy : VIRIAL AND CUSTOM INCLUDE MISMATCH
RX_J0714.5+7408,1339,UGC03739,2,"('108.65083', '74.13639')","(109.13343, 75.74151)",1.24E-29,0,58.44741601,13.96824971,475.115241,x,1200.5,-138.5,16.9081605,x,5.8,4.5,38.7,x,x,UGC3739,.I..9*.,39.1,-99,Im:,Im:,0.003736,0.371,SP,1,1,1,1339,"1322, 1374",24pm8,4.64E12 pm 1.66E12,18.7pm 2.7,done,"very weak, center is 1348"
RX_J0714.5+7408,2555,UGC03730NED02,3,"('108.65083', '74.13639')","(108.58467, 73.47342)",1.99E-07,1.19E-19,123.2444344,70.7121701,458.0276725,x,2809.4,254.4,39.56875494,x,17.1,10.9,50.2,5,3.4,UGC3730,.RING..,58.3,165,Ring,Ring,0.0091,0.371,SP,0,1,1,2555,"2522, 2588",28pm7,5.46E12 pm 1.45E12,23.8pm 3.5,done,"weak, center is 2555"
RX_J0714.5+7408,2649,UGC03730NED02,3,"('108.65083', '74.13639')","(108.58467, 73.47342)",5.28E-07,3.16E-19,123.2444344,70.7121701,458.0276725,x,2809.4,160.4,39.56875494,x,17.1,10.9,50.2,5,3.4,UGC3730,.RING..,58.3,165,Ring,Ring,0.0091,0.371,SP,0,1,1,2649,"2596, 2714",106pm9,2.26E13 pm 2.12E12,40.0pm 2.0,done,center is 2655
RX_J0714.5+7408,4074,UGC03717,1,"('108.65083', '74.13639')","(108.31017, 73.84314)",0.063934401,0.069162396,201.6273975,206.1760146,270.6033265,x,4268.8,194.8,50.35,x,34.9,16.8,61.3,115,82.6,UGC3717,.S..4..,68.7,103,Sbc,Sbc,0.01397,0.371,SP,1,1,1,4074,"4030, 4114",58pm7,1.18E13 pm 1.65E12,29.0pm 2.0,done,center is 4072 : ONLY 1 GALAXY
RX_J0714.5+7408,4264,UGC03717,1,"('108.65083', '74.13639')","(108.31017, 73.84314)",0.165001996,0.178494415,201.6273975,206.1760146,270.6033265,x,4268.8,4.8,50.35,x,34.9,16.8,61.3,115,82.6,UGC3717,.S..4..,68.7,103,Sbc,Sbc,0.01397,0.371,SP,1,1,1,4264,"4164, 4354",410pm9,1.70E14 pm 7.19E12,43.8pm 2.6,done,"very likely Lya, but not yet fully identified, center is 4259 : ONLY 1 GALAXY"
PG1121+423,7279,SDSSJ112418.74+420323.1,1,"('171.16333', '42.02917')","(171.07809, 42.05642)",0.0102104,4.60E-05,104.1603213,49.05205398,129.2311645,x,7628,349,107.436169,x,13.4,5.8,64.5,133,19.7,0,x,x,x,x,x,0.024596,0.234,RT,1,1,1,7279,"7200, 7270",46pm6,9.17E12 pm 1.32E12,26.4pm 2.3,d:Lya,"d:Lya labeled at 7279, I measure 7235 : ONLY 1 GALAXY"
PG1121+423,7328,SDSSJ112418.74+420323.1,1,"('171.16333', '42.02917')","(171.07809, 42.05642)",0.022610893,0.000101956,104.1603213,49.05205398,129.2311645,x,7628,300,107.436169,x,13.4,5.8,64.5,133,19.7,0,x,x,x,x,x,0.024596,0.234,RT,1,1,1,7328,"7267, 7431",359pm7,1.27E14 pm 4.05E12,41.9pm 2.1,"d:Lya, Lya","d:Lya labeled at 7348, Lya at 7328, I measure 7349 : ONLY 1 GALAXY"
RBS2070,8966,2dFGRSS357Z063,5,"('359.7825', '-30.6275')","(359.90758, -30.65589)",0.060645064,0.055992998,193.5820879,188.7095361,239.1202735,x,8740,-226,123.0992462,x,32.9,22.2,47.6,x,x,0,x,x,x,x,x,0.0301,0.165,NP,0,0,0,8966,"8832, 9110",777pm10,4.11E14 pm 1.91E13,76.8pm 1.8,Lya,"center is 8971, 2dFGRSS357Z063 appears to be another name for the same galaxy : VIRIAL AND CUSTOM INCLUDE MISMATCH"
