AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),acos[b/a] (deg),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift,AGNredshift,spectrumStatus,include,include_vir,include_custom,Lya_v,vlimits,Lya_W,Na,b,identified,comment
RX_J1117.6+5301,1259,NGC3631,7,"('169.41875', '53.0305555556')","(170.26198, 53.16957)",0.2515307885717573,0.21639575511998513,187.4482788872704,175.95210712009106,197.9301941,x,1377.8,1156,-103,21.6,x,31.4,30.2,15.891186572342932,16.227827176299915,28.0,46.7,NGC3631,.SAS5..,17.3,-99,SA(s)c,SA(s)c,0.003856,0.1587,SI,1,1,1,1259,"1218, 1298",57pm17,1.18E13 pm 3.87E12,25.4pm 4.6,Lya,center is 1258
SDSSJ112224.10+031802.0,1049,NGC3640,8,"('170.600416667', '3.30055555556')","(170.27854, 3.23483)",0.3977188275416222,0.3429793334226637,179.96633842111865,161.04141082342767,138.825941,x,1534.7,1251,202,24.25,x,29.6,23.7,36.80532684491837,37.69455734686867,100.0,21.6,NGC3640,.E.3...,37.4,100,E3,E3,0.004173,0.4753,SI,1,0,1,1049,"977, 1111",288pm30,8.30E13 pm 1.38E13,40.9pm 2.5,Lya,center is 1044 : VIRIAL AND CUSTOM INCLUDE MISMATCH
SDSSJ112224.10+031802.0,1264,NGC3640,14,"('170.600416667', '3.30055555556')","(170.27854, 3.23483)",1.098411464834468,0.9472330851455896,179.96633842111865,161.04141082342767,138.825941,x,1534.7,1251,-13,24.25,x,29.6,23.7,36.80532684491837,37.69455734686867,100.0,21.6,NGC3640,.E.3...,37.4,100,E3,E3,0.004173,0.4753,SI,1,1,1,1264,"1180, 1360",424pm27,1.35E14 pm 1.54E13,54.7pm 2.4,Lya,center is 1270
PG1216+069,1903,NGC4260,28,"('184.837083333', '6.64388888889')","(184.84267, 6.09868)",0.030796046253179193,0.04548685306024507,208.35405105618935,221.42243788740112,384.4538181,x,2255.7,1958,55,40.4,x,36.6,17.6,61.25747938915873,63.491681831416024,45.0,45.6,NGC4260,.SBS1..,59.9,58,SB(s)a;Sy      LINER,SB(s)a;Sy      LINER,0.006531,0.3313,SP,0,0,1,1903,"1461, 2345",2269pm33,1.11E15 pm 2.79E13,230.0pm 3.6,"d:Lya, Lya","DLA, bit far away, 1125, 1449, 2971, and 3040 Lya and AGN-Ly series markers over nothing, near NGC4260 & many other galaxies, center is 1903; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
MS1228.6+1219,866,NGC4429,71,"('187.804583333', '12.0519444444')","(186.86045, 11.10771)",0.026191189633767892,0.03310317893982252,203.61616373963315,210.62256289391217,385.2508324,x,1215.8,916,50,16.7,x,35.4,12.0,70.18507185149308,73.77919258770021,97.0,52.6,NGC4429,.LAR+..,62.8,99,SA(r)0+;LINER  HII,SA(r)0+;LINER  HII,0.003055,0.1161,SP,0,0,1,866,"825, 901",94pm18,2.23E13 pm 5.05E12,23.0pm 4.0,Lya,center is 863 : VIRIAL VS CUSTOM RESULT MISMATCH
3C273.0,1013,NGC4517,10,"('187.277916667', '2.05222222222')","(188.18996, 0.11503)",0.03344286551408229,0.0475232002471285,208.35405105618935,221.42243788740112,364.9047326,x,1420.4,1128,115,9.765,x,36.6,5.9,80.72331773702602,90.0,83.0,71.8,NGC4517,.SAS6*/,81.5,83,SA(s)cd: sp    HII,SA(s)cd: sp    HII,0.003764,0.1583,SP,0,0,1,1013,"910, 1116",376pm3,1.33E14 pm 1.07E12,44.5pm 2.3,Lya,"strong, I measure center at 1010, near NGC4536 - see Lya:1582; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
HE1228+0131,1488,NGC4517,16,"('187.708333333', '1.25583333333')","(188.18996, 0.11503)",0.014038125275766644,0.03157788342209424,208.35405105618935,221.42243788740112,211.0430532,x,1420.4,1128,-360,9.765,x,36.6,5.9,80.72331773702602,90.0,83.0,74.1,NGC4517,.SAS6*/,81.5,83,SA(s)cd: sp    HII,SA(s)cd: sp    HII,0.003764,0.117,SP,0,0,0,1488,"1440, 1550",144pm3,3.60E13 pm 7.74E11,29.0pm 3.5,"d:Lya,Lya","d:Lya & Lya labeled at 1988 - I measure 1495 center, near NGC4517, 3C273.0; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
LBQS1230-0015,1127,NGC4517,11,"('188.267083333', '-0.526111111111')","(188.18996, 0.11503)",1.5130056402097907,1.5621487829075063,208.35405105618935,221.42243788740112,110.0582855,x,1420.4,1128,1,9.765,x,36.6,5.9,80.72331773702602,90.0,83.0,89.9,NGC4517,.SAS6*/,81.5,83,SA(s)cd: sp    HII,SA(s)cd: sp    HII,0.003764,0.4709,SP,1,1,1,1127,"1028, 1218",473pm16,1.84E14 pm 1.34E13,51.0pm 2.3,Lya,center is 1123
3C273.0,1582,NGC4527,12,"('187.277916667', '2.05222222222')","(188.53509, 2.65366)",0.020274294961723314,0.021732835271610986,199.62977872021068,201.76120538894486,362.9476607,x,2031,1736,154,14.932,x,34.4,11.7,70.11604142473318,73.69377167333846,70.0,5.6,NGC4527,.SXS4..,70.2,67,SAB(s)bc;HII   LINER,SAB(s)bc;HII   LINER,0.005791,0.1583,SP,0,0,0,1582,"1482, 1720",375pm3,1.44E14 pm 1.09E12,44.3pm 2.7,Lya,"UGC07612 also nearby, double labels, center is 1601, originally yes - changed to no on 6/18/15; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
3C273.0,2156,NGC4536,4,"('187.277916667', '2.05222222222')","(188.61271, 2.18814)",0.0018018574644525014,0.0017871991550214089,197.62313832387832,197.37836507581068,358.5287462,x,2102.6,1808,-348,15.321,x,33.9,14.3,65.04989191551783,67.72447958324659,130.0,45.8,NGC4536,.SXT4..,64.7,130,SAB(rs)bc;HII  Sbrst,SAB(rs)bc;HII  Sbrst,0.006031,0.1583,SP,0,0,0,2156,"2088, 2248",57pm2,1.09E13 pm 5.00E11,61.1pm 2.7,"Lya, d:INSTR","weak, center is 2168, double labels; p : VIRIAL AND CUSTOM INCLUDE MISMATCH : VIRIAL AND CUSTOM INCLUDE MISMATCH"
