Name,Target,z,z_target,b,RAdeg,DEdeg,RAdeg_target,DEdeg_target,Vhel,vcorr,bestDist,MajDiam,MinDiam,e_MajDiam,e_MinDiam,R_vir,adjustedInc,e_inc,PA,azimuth,RC3_type,RC3_d25,RC3_r25,RC3_pa,group_num,group_mem,group_dist,MType,flag,distIndicator,Bmag,Bmag_sdss,Lstar_med,e_Lstar_med,Lstar_sdss,e_Lstar_sdss
NGC1566,HE0435-5304,0.005017,0.42616,396.1356016629156,65.00175,-54.93781,69.21208333333334,-52.97972222222222,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,62.3,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0435-5304,0.005017,0.42616,396.1356016629156,65.00175,-54.93781,69.21208333333334,-52.97972222222222,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,62.3,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0435-5304,0.005017,0.42616,396.1356016629156,65.00175,-54.93781,69.21208333333334,-52.97972222222222,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,62.3,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0435-5304,0.005017,0.42616,396.1356016629156,65.00175,-54.93781,69.21208333333334,-52.97972222222222,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,62.3,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,RBS563,0.005017,0.06900,912.6393953651885,65.00175,-54.93781,69.62166666666667,-61.79972222222222,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,7.6,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,RBS563,0.005017,0.06900,912.6393953651885,65.00175,-54.93781,69.62166666666667,-61.79972222222222,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,7.6,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,RBS567,0.005017,0.24300,422.6192722364694,65.00175,-54.93781,69.91125,-53.191944444444445,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,69.3,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,RBS567,0.005017,0.24300,422.6192722364694,65.00175,-54.93781,69.91125,-53.191944444444445,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,69.3,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,RBS567,0.005017,0.24300,422.6192722364694,65.00175,-54.93781,69.91125,-53.191944444444445,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,69.3,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,RBS567,0.005017,0.24300,422.6192722364694,65.00175,-54.93781,69.91125,-53.191944444444445,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,69.3,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0439-5254,0.005017,1.05300,459.3244450599651,65.00175,-54.93781,70.05,-52.805,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,65.0,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0439-5254,0.005017,1.05300,459.3244450599651,65.00175,-54.93781,70.05,-52.805,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,65.0,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0439-5254,0.005017,1.05300,459.3244450599651,65.00175,-54.93781,70.05,-52.805,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,65.0,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
NGC1566,HE0439-5254,0.005017,1.05300,459.3244450599651,65.00175,-54.93781,70.05,-52.805,1504,1361,7.19,15.34,10.59,8.9,6.1,114.35,48,4,170,65.0,.SXS4..,499.06,0.79,60,200054,16,12.3,(R'_1)SAB(rs)bcSy1,0,TF,10.3,-99.99,0.6,1.6,-99.99,-99.99
