target,identified,v_limits,e_v_center,Lya_v,Lya_W,e_Lya_W,Na,e_Na,b,e_b,W,e_W,comment,z_target,RAdeg_target,DEdeg_target,type,glon,glat,z,program PI,program #,obsid,"SN(N=1238,C=1548,O=1031)",calver,nightonly,IGMPARS,FPN
HS0946+4845,,,,,,,,,,,,,,,,,QSO,168.96,49.10,0.59000,Tumlinson,"11598,13033",XXX,SN=7,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
FIRST_J16595+3735,,,,,,,,,,,,,,,,,QSO,61.02,37.52,0.77500,"Heckman,Kacprzak,Nestor","12593,13862,14264",XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
ESO499-G41,,,,,,,,,,,,,,,,,Sey,260.42,25.84,0.01200,Bregman,13347,XXX,SN=9,vXXX,nightonly=TODO,IGMPARS=no,FPN=no
CSO1245,,,,,,,,,,,,,,,,,QSO,154.69,70.70,1.01545,Wakker,14772,LD5Z06,SN=N:11.0,v3.1.8,nightonly=TODO,IGMPARS=yes,FPN=yes
TON52,,,,,,,,,,,,,,,,,QSO,195.41,66.25,0.43572,Tumlinson,12248,LBHO73,"SN=N:10.9,C:11.2",v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
PKS0202-76,,,,,,,,,,,,,,,,,QSO,297.55,-40.04,0.38939,Misawa,12263,LBK201,"SN=N:10.9,C:9.1",v3.1.1,nightonly=TODO,IGMPARS=no,FPN=no
FBS1526+659,,,,,,,,,,,,,,,,,QSO,101.77,44.38,0.34500,Wakker,12276,LBI603,SN=N:10.8,v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
RX_J1125.0+2513,,,,,,,,,,,,,,,,,QSO,213.69,70.55,0.27150,Wakker,14772,LD5Z21,SN=N:10.7,v3.1.8,nightonly=TODO,IGMPARS=yes,FPN=yes
SDSSJ141949.40+060654.0,,,,,,,,,,,,,,,,,QSO,351.92,60.28,1.64892,Heckman,13473,LC9F01,"SN=N:10.6,C:6.9",v3.0,nightonly=done,IGMPARS=yes,FPN=none
SDSSJ115552.80+292238.0,,,,,,,,,,,,,,,,,QSO,199.27,77.57,0.51993,Heckman,12603,LBS336,SN=N:10.6,v3.0,nightonly=TODO,IGMPARS=yes,FPN=yes
