AGNname,center,galaxyName,environment,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,likelihood,likelihood_1.5,virialRadius,d^1.5,impactParameter (kpc),redshiftDistances,vcorrGalaxy (km/s),radialVelocity (km/s),vel_diff,distGalaxy (Mpc),AGN S/N,majorAxis (kpc),minorAxis (kpc),inclination (deg),positionAngle (deg),azimuth (deg),RC3flag,RC3type,RC3inc (deg),RC3pa (deg),morphology,final_morphology,galaxyRedshift
MS1228.6+1219,1046,SDSSJ123048.20+123510.9,72,"('187.804583333', '12.0519444444')","(187.70086, 12.58637)",1.6171979075494008e-26,0.0,19.70765993782143,1.3145341380123985,150.28873003267847,x,1124.0,824.0,-222.0,15.83039308,x,1.2,1.1,28.4,177.0,7.7,0,x,x,x,x,x,0.002749
MS1228.6+1219,1046,VCC0871,72,"('187.804583333', '12.0519444444')","(186.5235, 12.55964)",3.585586315617003e-27,0.0,54.205369237839186,11.857824421031035,410.1876502988681,x,1727.0,1427.0,381.0,17.4,x,5.2,4.3,33.9,x,x,VCC871,.E?....,33.7,-99,"dE,N","dE,N",0.004759
MS1228.6+1219,1046,IC3331,72,"('187.804583333', '12.0519444444')","(186.52216, 11.81222)",2.361234014017488e-27,0.0,59.83073840715335,14.696938456699069,466.6053991592498,x,1485.9,1186.0,140.0,20.92872679,x,6.0,3.6,53.0,x,x,IC3331,.S?....,63.5,-99,"dS0,N","dS0,N",0.003955
MS1228.6+1219,1046,SDSSJ123102.59+123414.1,72,"('187.804583333', '12.0519444444')","(187.76079, 12.57059)",2.411266322993654e-28,0.0,24.034925927759257,2.023857702507763,190.86111910827137,x,1492.0,1192.0,146.0,21.01341491,x,1.6,1.2,39.6,114.0,61.3,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.003976
MS1228.6+1219,1046,IC3349,72,"('187.804583333', '12.0519444444')","(186.6961, 12.45398)",2.1335041472533498e-30,0.0,46.7780388647478,8.607438643406063,377.10516345273373,x,1711.0,1411.0,365.0,18.700001,x,4.2,3.8,25.8,25.0,85.3,IC3349,.E?....,29.4,-99,dE1,dE1,0.004707
MS1228.6+1219,1046,NGC4468,72,"('187.804583333', '12.0519444444')","(187.37874, 14.04909)",1.5994558651758905e-30,0.0,55.63546142004417,12.548466041712032,459.2492992200147,x,1208.9,909.0,-137.0,12.9,x,5.4,3.6,48.5,x,84.8,NGC4468,.LA.-?.,40.7,73.0,SA0-?,SA0-?,0.003032
MS1228.6+1219,1046,IC3578,72,"('187.804583333', '12.0519444444')","(189.16421, 11.10186)",5.48085639569788e-31,0.0,49.05876764093103,9.545941546018392,400.4120490720727,x,995.6,696.0,-350.0,14.02252203,x,4.5,1.6,69.5,135.0,9.5,IC3578,.S..6*.,69.2,135.0,Scd:,Scd:,0.002323
MS1228.6+1219,1046,VCC1606,72,"('187.804583333', '12.0519444444')","(188.81121, 12.23742)",5.282412455755226e-32,0.0,30.873950736811498,3.488122704263713,257.937474324574,x,1047.8,748.0,-298.0,14.75773118,x,2.3,1.8,39.6,76.0,3.3,0,x,x,x,"dE3,N","dE3,N",0.002494
MS1228.6+1219,1046,SDSSJ122746.27+112606.4,72,"('187.804583333', '12.0519444444')","(186.94279, 11.43511)",1.391309278543667e-35,0.0,46.7780388647478,8.607438643406063,414.39642096934057,x,1612.9,1313.0,267.0,22.71684979,x,4.2,2.6,52.4,73.0,19.2,0,x,x,x,x,x,0.004379
MS1228.6+1219,1046,SDSSJ123329.47+121017.4,72,"('187.804583333', '12.0519444444')","(188.37279, 12.17152)",7.058196843220366e-40,0.0,24.034925927759257,2.023857702507763,225.86845024046866,x,1616.9,1317.0,271.0,22.77272547,x,1.6,1.1,45.6,54.0,23.9,0,x,x,x,Extended Src [SDSS],Extended Src [SDSS],0.004393
