2603.2905	0.357	0.006
2603.314	0.4082	0.007
2603.3372	0.3691	0.006
2603.3606	0.4863	0.007
2603.384	0.265	0.005
2603.4072	0.3827	0.007
2603.4307	0.3436	0.006
2603.4539	0.4478	0.007
2603.4773	0.2654	0.005
2603.5007	0.3832	0.007
2603.5239	0.2658	0.005
2603.5474	0.3962	0.007
2603.5708	0.3441	0.006
2603.594	0.3701	0.006
2603.6174	0.3603	0.006
2603.6406	0.3016	0.006
2603.6641	0.2821	0.006
2603.6875	0.3698	0.006
2603.7107	0.2916	0.006
2603.7341	0.3014	0.006
2603.7576	0.2916	0.006
2603.7808	0.4188	0.007
2603.8042	0.4091	0.007
2603.8274	0.2722	0.006
2603.8508	0.3504	0.006
2603.8743	0.477	0.007
2603.8975	0.262	0.005
2603.9209	0.3598	0.006
2603.9443	0.3695	0.006
2603.9675	0.2907	0.006
2603.991	0.3005	0.006
2604.0142	0.4176	0.007
2604.0376	0.4079	0.007
2604.061	0.3774	0.006
2604.0842	0.2605	0.005
2604.1077	0.2605	0.005
2604.1311	0.4943	0.007
2604.1543	0.3479	0.006
2604.1777	0.3479	0.006
2604.2009	0.3382	0.006
2604.2244	0.3869	0.007
2604.2478	0.3194	0.006
2604.271	0.3974	0.007
2604.2944	0.3389	0.006
2604.3176	0.2512	0.005
2604.3411	0.2516	0.005
2604.3645	0.4566	0.007
2604.3877	0.359	0.006
2604.4111	0.3785	0.006
2604.4346	0.4772	0.007
2604.4578	0.3013	0.006
2604.4812	0.3893	0.007
2604.5044	0.2818	0.006
2604.5278	0.3893	0.007
2604.5513	0.1645	0.004
2604.5745	0.36	0.006
2604.5979	0.4187	0.007
2604.6211	0.3504	0.006
2604.6445	0.3211	0.006
2604.668	0.4385	0.007
2604.6912	0.4581	0.007
2604.7146	0.4001	0.007
2604.7378	0.3022	0.006
2604.7612	0.2729	0.006
2604.7847	0.3219	0.006
2604.8079	0.3125	0.006
2604.8313	0.4105	0.007
2604.8545	0.4301	0.007
2604.8779	0.3126	0.006
2604.9014	0.4293	0.007
