status,FinalName,NewTARGETLISTname,PreviousTARGETLISTname,NEDname,Obslog name,Alternative names
OK,ESO350-IG38,ESO350-IG38,ESO350-IG38,ESO350-IG38,"ESO003426-3349,HARO11","['ESO-LV3500380', 'ESO003426-3349.9', 'ESO350-IG38NED03', 'HARO11', 'IRAS00344-3349', 'IRAS_F00344-3349']"
new,ESO462-G09,ESO462-G09,ESO462-G09,ESO462-G09,ESO462-G09,"['ESO-LV4620090', 'ESO201844-3126.9', 'ESO462-G9', 'IRAS20186-3127', 'IRAS_F20187-3127', 'MCG-05-48-003']"
new,ESO499-G41,ESO499-G41,MCG-04-24-017,MCG-04-24-017,ESO-499-G-041,"['ESO-LV4990410', 'ESO100336-2248.8', 'MCG-04-24-017']"
OK,FAIRALL9,FAIRALL9,FAIRALL9,PGC005106,"F9,FAIRALL9","['1H0122-590', 'ESO-LV1130450', 'ESO012151-5903.9', 'ESO113-IG45', 'IRAS-S01218-5904', 'RBS194']"
OK,FBQSJ0012-1022,FBQSJ0012-1022,SDSSJ001224.01-102226.5,FBQSJ0012-1022,"NEWQZ026,SDSSJ001224.01-1",['SDSSJ001224.01-102226.4']
OK,FBQSJ0751+2919,FBQSJ0751+2919,Q_J0751+2919,FBQSJ0751+2919,FBQS-0751+2919,['SDSSJ075112.30+291938.3']
new,FBQSJ0936+3207,FBQSJ0936+3207,FIRST_J09360+3207,FBQSJ093603.8+320709,VV2000-J093603.9,['SDSSJ093603.88+320709.3']
new,FBQSJ1134+2555,FBQSJ1134+2555,FIRST_J11349+2555,FBQSJ113457.6+255527,SDSSJ113457.62+2,['SDSSJ113457.62+255527.9']
new,FBQSJ1220+3853,FBQSJ1220+3853,FIRST_J12205+3853,FBQSJ1220+3853,SDSSJ122035.10+3,['SDSSJ122035.10+385316.4']
OK,FBQSJ1431+2442,FBQSJ1431+2442,FIRST_J14314+2442,FBQSJ143125.8+244220,"2MASS-J14312586+,2MASSIJ1431258+2",['SDSSJ143125.88+244220.6']
new,FBS1242+342,FBS1242+342,SDSSJ124511.25+335610.1,CSO0919,SDSSJ124511.25+3,"['RX_J1245.2+3356', 'SDSSJ124511.25+335610.1']"
OK,FBS1324+448,FBS1324+448,FBS1324+448,FBS1324+448,SDSSJ132704.13+4,['RX_J1327.0+4435']
OK,FBS1526+659,FBS1526+659,FBS1526+659,FBS1526+659,FBS1526+659,"['RX_J1527.4+6548', 'RX_J1527.4+6548ID']"
new,SDSSJ113722.13+352426.6,GP1137+3524,GP1137+3524,SDSSJ113722.13+352426.6,GP1137+3524,[]
OK,H1101-232,H1101-232,H1101-232,H1101-232,PMNJ1103-2329,"['1H1100-230', 'RBS936', 'RX_J1103.6-2329']"
OK,H1821+643,H1821+643,H1821+643,H1821+643,"E1821+643,H-1821+643,H1821+643","['IRAS18216+6418', 'IRAS_F18216+6419', 'KUV18217+6419', 'RX_J1821.8+6419', 'RX_J1821.9+6420']"
OK-star,HD148422,HD148422,HD148422,HD148422,HD148422,[]
OK-star,HD163522,HD163522,HD163522,HD163522,HD163522,[]
OK-star,HD167402,HD167402,HD167402,HD167402,HD167402,[]
OK-star,HD177566,HD177566,HD177566,HD177566,HD177566,[]
OK-star,HD178487,HD178487,HD178487,HD178487,HD178487,[]
OK-star,HD179407,HD179407,HD179407,HD179407,HD179407,[]
new-star,HDE341617,HDE341617,HDE341617,HDE341617,HD341617,[]
OK,HE0003-5023,HE0003-5023,HE0003-5023,HE0003-5023,RXS-J00057-5007,['RBS9']
OK,HE0056-3622,HE0056-3622,HE0056-3622,HE0056-3622,HE0056-3622,['RBS142']
OK,HE0153-4520,HE0153-4520,HE0153-4520,HE0153-4520,HE0153-4520,[]
OK,HE0226-4110,HE0226-4110,HE0226-4110,HE0226-4110,"HE0226-4110,HE0226-4410","['IRAS02262-4110', 'IRAS_F02262-4110', 'RBS320', 'RX_J0228.2-4057']"
OK,HE0238-1904,HE0238-1904,HE0238-1904,HE0238-1904,HE0238-1904,[]
new,HE0241-3043,HE0241-3043,HE0241-3043,HE0241-3043,HE0241-3043,[]
OK,HE0429-5343,HE0429-5343,HE0429-5343,HE0429-5343,HE0429-5343,"['1H0435-531', 'CTS0', 'CTS80', 'RBS547']"
OK,HE0435-5304,HE0435-5304,HE0435-5304,HE0435-5304,HE0435-5304,[]
OK,HE0439-4319,HE0439-4319,PKS0439-433,PKS0439-433,"PKS0439-433,Q0439-433","['MS0439.7-4319', 'PKSB0439-433', 'PKSJ0441-4313']"
OK,HE0439-5254,HE0439-5254,HE0439-5254,HE0439-5254,HE0439-5254,[]
OK,HE1003+0149,HE1003+0149,HE1003+0149,HE1003+0149,SDSS-J100535.24+,[]
OK,HE1136-1334,HE1136-1334,PKS1136-13,PKS1136-13,PKS1136-13,"['CTS0', 'CTS667', 'MRC1136-135', 'PKSB1136-135', 'PKSJ1139-1350', 'RX_J1139.1-1350']"
OK,HE1159-1338,HE1159-1338,HE1159-1338,HE1159-1338,HE1159-1338,['CTS0']
OK,HE1228+0131,HE1228+0131,HE1228+0131,HE1228+0131,"QSO-123050+01152,RXJ1230.8+0115",[]
new,HE1340-0038,HE1340-0038,HE1340-0038,HE1340-0038,"Q1340-0038,SDSSJ134251.60-0","['IRAS_F13403-0038', 'SDSSJ134251.60-005345.2']"
OK,HE2258-5524,HE2258-5524,HE2258-5524,HE2258-5524,HE2258-5524,"['IRAS_F22588-5524', 'RBS1932', 'RX_J2301.8-5508']"
new,HE2332-3556,HE2332-3556,HE2332-3556,HE2332-3556,HE2332-3556,[]
OK,HE2347-4342,HE2347-4342,HE2347-4342,HE2347-4342,"HE-2347-4342,HE2347-4342",['CTS0']
OK,HS0033+4300,HS0033+4300,HS0033+4300,HS0033+4300,HS-0033+4300,[]
OK,HS0058+4213,HS0058+4213,HS0058+4213,HS0058+4213,2MASX-J01013113+,[]
OK,HS0624+6907,HS0624+6907,HS0624+6907,HS0624+6907,HS0624+6907,['RX_J0630.0+6904']
new,HS0911+4809,HS0911+4809,HS0911+4809,HS0911+4809,SDSSJ0915+4756,[]
new,HS0943+4725,HS0943+4725,US939,US939,SDSSJ094621.26+4,"['RX_J0946.3+4711', 'US939']"
new,HS0946+4845,HS0946+4845,HS0946+4845,HS0946+4845,SDSSJ095000.73+4,['RX_J0950.0+4831']
new,HS1003+3719,HS1003+3719,HS1003+3719,HS1003+3719,SDSS1006+3705,[]
new,HS1024+1849,HS1024+1849,HS1024+1849,HS1024+1849,HS1024+1849,[]
OK,HS1102+3441,HS1102+3441,HS1102+3441,TON1329,HS1102+3441,"['CSO314', 'FBS1102+347', 'IRAS_F11028+3442', 'SDSSJ110539.81+342534.6', 'TON1329']"
OK,HS1119+5812,HS1119+5812,HS1119+5812,HS1119+5812,SDSSJ112244.89+5,['RX_J1122.7+5755']
new,HS1231+4814,HS1231+4814,SDSSJ123335.07+4,HS1231+4814,SDSSJ123335.07+4,"['RX_J1233.5+4758', 'SDSSJ123335.07+475800.4']"
new,HS1302+2510,HS1302+2510,HS1302+2510,HS1302+2510,FBQS.J130451.4+2,"['RX_J1304.8+2454', 'SDSSJ130451.41+245445.9']"
new,HS1453+2802,HS1453+2802,HS1453+2802,HS1453+2802,J1456P2750,['RX_J1456.1+2750']
OK,HS1606+4345,HS1606+4345,HS1606+4345,HS1606+4345,KISSR2110,['KISSR2110']
OK,HS1700+6416,HS1700+6416,HS1700+6416,HS1700+6416,"HS-1700+6416,HS1700+6416,QSO-J1701+6412",[]
OK,HS1831+5338,HS1831+5338,HS1831+5338,HS1831+5338,HS1831+5338,[]
OK,IRAS_F09539-0439,IRAS_F09539-0439,IRAS_F09539-0439,IRAS_F09539-0439,RXSJ09565-0452,[]
OK,IRAS_F13369+2907,IRAS_F13369+2907,KISSR326,KISSR326,KISSR326,['KISSR326']
OK,IRAS_F21013-0739,IRAS_F21013-0739,IRAS_F21013-0739,IRAS_F21013-0739,SDSSJ210358.74-0,[]
OK,IRAS_F21325-6237,IRAS_F21325-6237,IRAS_F21325-6237,RBS1763,1H-2129-624,['RBS1763']
OK,IRAS_Z06229-6434,IRAS_Z06229-6434,IRAS_Z06229-6434,PGC018924,IRAS-L06229-6434,"['@', 'CGRaBSJ0623-6436', 'IRAS-L06229-6434']"
OK,IRAS00262+4251,IRAS00262+4251,IRAS00262+4251,IRAS00262+4251,"IRAS00262+4251,IRAS00262+4251-T",['IRAS_F00261+4251']
