AGNname,galaxyName,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),Lstar,inclination (deg),positionAngle (deg),RC3pa (deg),azimuth (deg),RC3type,morphology,galaxyRedshift,AGNredshift,spectrumStatus,groups_dist_std (Mpc)
MRK509,UMaDwarf,"('311.04042', '-10.72333')","('158.72', '51.92')",234.602757756,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0344,SP,[]
MRK509,2MASXJ20484729-1216543,"('311.04042', '-10.72333')","('312.19704', '-12.28175')",314.130545297,663.16,9.34030853,x,x,x,x,x,x,x,x,x,0.002812,0.0344,SP,[]
MRK509,2MASXJ20452312-1237076,"('311.04042', '-10.72333')","('311.34627', '-12.61872')",422.868421736,896.46,12.62622715,x,x,x,x,x,x,x,x,x,0.003579,0.0344,SP,[]
MRK272,UMaDwarf,"('205.5', '42.76')","('158.72', '51.92')",57.0785459304,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0347,DG,[]
MRK272,UGC08656,"('205.5', '42.76')","('205.12425', '42.99269')",275.945750455,3113.79,43.8561663,16.01,4.16,0.0077,74,35,x,84.9,x,S,0.009556,0.0347,DG,[]
MRK272,MRK0267,"('205.5', '42.76')","('204.8998', '43.05278')",495.202091054,3813.9,53.71693676,11.77,6.59,0.3539,55,160,-99,36.4,.S?....,Sb             Sbrst,0.011893,0.0347,DG,[]
MCG-02-16-004,UMaDwarf,"('93.145', '-14.25778')","('158.72', '51.92')",153.263267741,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0358,SP,[]
MRK504,UMaDwarf,"('255.2825', '29.40694')","('158.72', '51.92')",125.208375021,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0359,SP,[]
MRK1392,UMaDwarf,"('226.48583', '3.70722')","('158.72', '51.92')",129.588748907,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.036,PL,[]
ESO141-G55,UMaDwarf,"('290.30958', '-58.67028')","('158.72', '51.92')",268.440131514,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.036,SP,[]
ESO141-G55,HIPASSJ1918-58,"('290.30958', '-58.67028')","('289.71731', '-58.2985')",405.13123201,3406.48,47.97862267,x,x,0.139,x,x,x,x,x,Dwarf spiral,0.011669,0.036,SP,[]
KISSR2023,UMaDwarf,"('236.67708', '43.24361')","('158.72', '51.92')",89.420502902,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0361,DG,[]
KISSR2023,SDSSJ154706.81+431401.6,"('236.67708', '43.24361')","('236.77838', '43.23378')",111.636439787,6099.94,85.91459672,15.9,5.72,0.1366,68,103,x,5.4,x,x,0.019736,0.0361,DG,[]
MRK841,UMaDwarf,"('226.005', '10.43778')","('158.72', '51.92')",119.627335607,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0364,PL,[]
MRK841,RCS07020401252,"('226.005', '10.43778')","('223.29238', '9.16879')",394.741237379,542.71,7.643775566,x,x,x,x,x,x,x,x,x,0.001,0.0364,PL,[]
TON151,UMaDwarf,"('199.01625', '29.38167')","('158.72', '51.92')",65.6477197811,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.037,DG,[]
TON151,SDSSJ132742.58+303117.3,"('199.01625', '29.38167')","('201.92721', '30.52136')",392.70866672,577.23,8.129987737,x,x,0.0432,x,x,x,x,x,x,0.001,0.037,DG,[]
TON151,ABELL1656:[BDG95]+1640+0400,"('199.01625', '29.38167')","('195.45417', '27.85944')",464.103347113,542.92,7.646804379,x,x,x,x,x,-99,x,.......,x,0.000854,0.037,DG,[]
TON151,2MASXJ13153929+2936398,"('199.01625', '29.38167')","('198.91381', '29.61084')",410.608095849,6792.7,95.67189472,20.59,9.06,x,63,30,x,51.3,x,S03,0.02172,0.037,DG,[]
TON151,SDSSJ131537.85+293930.5,"('199.01625', '29.38167')","('198.90771', '29.65847')",491.451007155,6835.64,96.27663692,15.85,11.89,0.1552,41,74,x,87.1,x,S01,0.021862,0.037,DG,[]
MRK486,UMaDwarf,"('234.15958', '54.55917')","('158.72', '51.92')",75.8204716029,1312.99,0.101,x,x,0.0,x,x,x,x,x,dSph,0.003673,0.0389,SP,[]
