galaxyName,target type,right ascension,declination,AGNname,degreesJ2000RA_DecAGN,equinox,bandpass,minimum magnitude,maximum magnitude,mu,auto_mu,auto_2_mu,ranking,new_ranking,observing time,new_Texp,new_s/n,maximum lunar phase,exposure time,s/n,morphology,galaxyRedshift,slit width,grating,camera station,grating angle,h-alpha,ca_h_k,impactParameter (kpc),vcorrGalaxy (km/s),majorAxis (kpc),major_radius,minor_radius,angDiameter (arcsec),angDiameter (arcsec),likelihood,possible_lya,inclination (deg),PA,positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),groups_dist_std (Mpc)
NGC4380,SpiralG,186.34238,10.01681,LBQS1220+1006,"('185.80042', '9.83861')",2000,B,12.66,12.66,,22.70935109,21.67745809,Medium,check,90,,,25,65,100,SA(rs)b:?;Sy   LINER,0.003212,0.6,pg2300,98.5,49.25,6583.879714,3945.632796,195.8652921,1262.6,25.38,131.25,91.875,183.75,"(262.5, 183.75)",0.231172385,x,45,157,165,86.5,.SAT3*$,153,[]
SDSSJ021315.79-073942.7,Galaxy,33.31582,-7.66188,SDSSJ021218.32-073719.8,"('33.07625', '-7.62222')",2000,B,13.87,13.87,,22.89210294,23.12316474,Medium,high?,160,,,25,150,115,Sb,0.016011,0.6,pg2300,100,50,6667.876991,3995.971263,268.1771169,4531.79,28.29,45.715,29.255,58.51,"(91.43, 58.51)",0.094072736,"4756,4833, strong",50,130,109,9.5,PSBT1..,-99,[]
NGC4536,SpiralG,188.61271,2.18814,HE1228+0131,"('187.70833', '1.25583')",2000,B,11.16,11.16,,22.12224887,20.80407598,Medium,high?,30,,,25,20,145,SAB(rs)bc;HII  Sbrst,0.006031,0.6,pg2300,99.25,49.625,6602.380247,3956.719923,347.2467113,2102.59,33.87,228,96,192,"(456.0, 192.0)",0.045446024,"1854, 2311, strong",65,130,x,85.9,.SXT4..,130,[]
UGC05357,SpiralG,149.67404,5.26436,SDSSJ095915.60+050355.0,"('149.815', '5.06528')",2000,B,16.5,16.5,,24.92338832,25.09573143,Medium,low?,410,,,90,400,49,Scd:,0.013514,1,pg2300,100,50,6651.489679,3986.150562,256.8563068,4289.35,20.9,35.65,9.95,19.9,"(71.3, 19.9)",0.037145955,"3900 no ID, strong",73,50,50,85.2,x,x,[]
NGC0768,SpiralG,29.67056,0.52922,MRK1014,"('29.95917', '0.39472')",2000,B,14.3,14.3,,24.15507437,24.72862811,Medium,medium?,210,,,90,200,112,SB(r)bc:,0.023419,0.6,pg2300,97,48.5,6716.494213,4025.106927,486.1589792,6752.26,48.61,57.3,17.1,34.2,"(114.6, 34.2)",0.025217109,"7080, medium",72,30,x,85,.SBR4*.,30,[]
CGCG072-007_ca,Galaxy,197.31227,8.53172,PG1307+085,"('197.44583', '8.32972')",2000,B,15.2,15.2,,24.00558774,24.77105652,Medium,low?,411,,,90,400,51,x,0.023746,1,pg3000,74.5,37.25,6718.640249,4026.393018,439.8537278,7413.25,32.75,32.35,20.705,41.41,"(64.7, 41.41)",0.005541604,"7279, medium",50,10,10,43.2,x,x,[]
NGC1566,SpiralG,65.00175,-54.93781,HE0429-5343,"('67.66667', '-53.61556')",2000,B,10.3,10.3,,21.17314773,19.5745512,Medium,high?,20,,,25,10,155,(R'_1)SAB(rs)bcSy1,0.005017,0.6,pg2300,98.5,49.25,6595.725568,3952.731861,421.6889476,1360.57,28.57,249,198,396,"(498.0, 396.0)",0.003134189,"1050, 1360, 1500 no IDs",37,170,x,9.9,.SXS4..,60,"[('LGG114', '18.6300428986', '1.72617861283')]"
NGC2962,SpiralG,145.22473,5.16581,SDSSJ094331.60+053131.0,"('145.88167', '5.52528')",2000,B,12.96,12.96,,22.71251925,22.26549191,Medium,high?,70,,,25,60,100,(R)SAB(rs)0+,0.006558,0.6,pg2300,99.25,49.625,6605.838842,3958.792614,445.1739485,2189.95,28.98,87.45,45.475,90.95,"(174.9, 90.95)",0.001835688,"2000, no IDs",58,0,0,61.2,RLXT+..,3,[]
2MASXJ11383327-1344240_ca,Galaxy,174.6386,-13.74015,HE1136-1334,"('174.79458', '-13.84528')",2000,B,14.33,14.33,,22.07748889,23.14399973,Medium,medium?,469,,,25,450,64,x,0.031749,1,pg3000,75.25,37.625,6771.162337,4057.868817,443.2814439,9779.72,23.11,17.3,11.42,22.84,"(34.6, 22.84)",0.000196039,lots but no IDs,48,40,40,84.8,x,x,[]
NGC4246,SpiralG,184.49216,7.18591,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')",2000,B,13.38,13.38,,23.34165791,23.49744181,Low,,90,,,25,80,100,SA(s)c,0.012409,0.6,pg2300,100,50,6644.237785,3981.804597,333.6953643,4018.26,42.12,72.95,64.195,128.39,"(145.9, 128.39)",0.120870734,x,28,90,90,3.7,.SAS5..,83,[]
