galaxyName,AGNname,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),angDiameter (arcsec),B_median,Lstar,likelihood,possible_lya,inclination (deg),positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),morphology,AGNredshift,galaxyRedshift,groups_dist_std (Mpc)
RFGC3781,RBS1768,"('324.70708', '-38.47778')","('324.43825', '-38.49256')",464.166338,8951.06,126.0713339,48.41,7.7,"(79.2, 12.6)",15.82,1.2132,0.034254538,x,80,x,x,x,x,Sb,0.183,0.030561,[]
NGC0768,MRK1014,"('29.95917', '0.39472')","('29.67056', '0.52922')",486.1589792,6752.26,87.483,48.61,14.51,"(114.6, 34.2)",14.3,0.6727,0.025217109,"7080, medium",72,x,85,.SBR4*.,30,SB(r)bc:,0.163,0.023419,[]
NGC4442,LBQS1220+1006,"('185.80042', '9.83861')","('187.01618', '9.80371')",320.2797078,831.55,15.312,26.5,13.52,"(357.0, 182.07)",11.33,1.0808,0.024981939,x,59,83,8.7,.LBS0..,87,SB(s)0^0^,0.276,0.001775,[]
NGC4247,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')","('184.492', '7.27395')",332.7414514,4136.31,58.2578288,23.22,19.97,"(82.2, 70.69)",14.36,0.2113,0.008405608,x,30,85,6.9,RSXS2P$,-99,(R)SAB(s)ab pec?,0.587,0.012802,[]
IC5325,RBS2000,"('351.18625', '-40.68028')","('352.18096', '-41.33347')",314.3353632,1246.2,18.1,20.45,18.61,"(233.0, 212.03)",11.83,0.9485,0.006207841,"1598, weak",24,15,64.1,.SXT4..,-99,SAB(rs)bc,0.5,0.005013,"[('LGG472', '19.0675242541', '2.43668845184')]"
CGCG072-007,PG1307+085,"('197.44583', '8.32972')","('197.31227', '8.53172')",439.8537278,7413.25,104.411924,32.75,20.96,"(64.7, 41.41)",15.2,x,0.005541604,"7279, medium",50,10,43.2,x,x,x,0.155,0.023746,[]
NGC5786,QSO1500-4140,"('225.89167', '-41.87333')","('224.73442', '-42.01336')",400.3026668,3124.36,26.299999,26.57,12.22,"(208.4, 95.86)",9.56,19.5616,0.003206079,"3141, strong",62,80,0.8,PSBS4..,63,(R'_2)SAB(s)bc,0.335,0.01,[]
NGC1566,HE0429-5343,"('67.66667', '-53.61556')","('65.00175', '-54.93781')",421.6889476,1360.57,11.834,28.57,22.72,"(498.0, 396.0)",10.3,x,0.003134189,"1050, 1360, 1500 no IDs",37,x,9.9,.SXS4..,60,(R'_1)SAB(rs)bcSy1,0.04,0.005017,"[('LGG114', '18.6300428986', '1.72617861283')]"
NGC4307,LBQS1220+1006,"('185.80042', '9.83861')","('185.52368', '9.04363')",340.717285,1391.24,23.225,20.65,3.72,"(183.4, 33.01)",13.4,0.0511,0.00276385,x,79,25,6.1,.S..3./,24,Sb;LINER       HII,0.276,0.003643,[]
IC3255,LBQS1220+1006,"('185.80042', '9.83861')","('185.89475', '9.64861')",351.7880281,6765.47,95.28834488,21.48,18.04,"(46.5, 39.06)",16.5,0.3594,0.002611635,x,32,155,1.1,x,x,Sbc(s)II,0.276,0.021567,"[('UZC486', '103.220778349', '5.9786354291')]"
NGC2855,3C218,"('139.52375', '-12.09528')","('140.36454', '-11.9095')",387.0154279,2080.37,26.299999,23.7,18.96,"(185.9, 148.72)",12.63,1.0152,0.001864096,x,36,125,47.7,RSAT0..,-99,(R)SA(rs)0/a  LINER?,0.054,0.006328,[]
NGC2962,SDSSJ094331.60+053131.0,"('145.88167', '5.52528')","('145.22473', '5.16581')",445.1739485,2189.95,34.175,28.98,15.07,"(174.9, 90.95)",12.96,1.8866,0.001835688,"2000, no IDs",58,0,61.2,RLXT+..,3,(R)SAB(rs)0+,0.5643,0.006558,[]
SDSSJ124044.25+093838.7,LBQS1238+1006,"('190.14792', '9.82806')","('190.18438', '9.64411')",352.6927094,7655,107.8168746,20.61,11.95,"(39.4, 22.9)",16.99,x,0.001783031,x,54,156,12.9,x,x,x,1.045,0.024537,[]
2MASXJ11383327-1344240,HE1136-1334,"('174.79458', '-13.84528')","('174.6386', '-13.74015')",443.2814439,9779.72,137.7424967,23.11,15.25,"(34.6, 22.84)",14.33,5.7781,0.000196039,lots but no IDs,48,40,84.8,x,x,x,0.558,0.031749,[]
UGC08153,SDSSJ130524.30+035731.0,"('196.35125', '3.95861')","('195.77465', '3.99188')",425.3744992,3155.77,42.299999,20.64,18.37,"(100.6, 89.6)",15.4,0.5033,0.00010221,x,27,x,x,.S..7..,-99,Sd,0.545,0.00955,[]
KUG0156-001,MRK1014,"('29.95917', '0.39472')","('29.79728', '0.10978')",446.1410499,5538.01,78.0001575,20.77,16.82,"(54.9, 44.5)",15.3,0.4573,4.45E-05,"5694, weak",35,18,11.6,x,x,Compact,0.163,0.01937,[]
UGC00726,LBQS0107-0233,"('17.56792', '-2.31417')","('17.48983', '-1.74969')",499.7784174,3567.78,50.25048516,23.36,13.31,"(95.9, 54.7)",14.59,0.6166,2.27E-05,2 but no IDs,55,144,28.1,.SBS7?.,144,SB(s)d?,0.956,0.012866,[]
SDSSJ082644.50+073017.5,RX_J0826.5+0742,"('126.63958', '7.71333')","('126.68542', '7.50488')",488.1687691,9308.28,131.1025791,20.03,9.01,"(31.5, 14.2)",17.6,x,3.33E-06,"9412, strong",63,13,25.3,x,x,x,0.312,0.030537,[]
IC1761,MRK1014,"('29.95917', '0.39472')","('29.71788', '0.5683')",492.273862,6737.4,94.89300155,20.2,16.97,"(43.9, 36.88)",15.16,1.2401,3.12E-06,"7080, medium",32,50,75.7,x,x,S0?,0.163,0.023368,[]
