galaxyName,AGNname,degreesJ2000RA_DecAGN,degreesJ2000RA_DecGalaxy,impactParameter (kpc),vcorrGalaxy (km/s),distGalaxy (Mpc),majorAxis (kpc),minorAxis (kpc),Lstar,likelihood,inclination (deg),positionAngle (deg),azimuth (deg),RC3type,RC3pa (deg),morphology,AGNredshift,galaxyRedshift,groups_dist_std (Mpc)
NGC5364,SDSSJ135726.27+043541.4,"('209.35917', '4.59472')","('209.05', '5.01447')",183.1138939,1516.42,20.15,37.16,21.18,0.0329,0.469364012,55,48,84.3,.SAT4P.,30,SA(rs)bc pec   HII,1.234,0.00414,[]
NGC0731,SDSSJ015530.02-085704.0,"('28.875', '-8.95111')","('28.7342', '-9.01081')",132.2096694,3553.64,50.05124025,23.05,20.75,2.4789,0.466661941,25,150,83.2,.E+..*.,-99,E+:,0.1644,0.012782,[]
UGC08979,SDSSJ140347.22+062812.1,"('210.94667', '6.47')","('211.03192', '6.48589')",182.7580075,7709.47,121.5,36.76,9.55,x,0.465437862,74,15,64.4,x,x,Sbc,0.0843,0.024807,[]
NGC4224,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')","('184.14077', '7.46209')",157.4215864,2901.32,35.099998,28.72,14.94,1.8991,0.450368196,58,55,61.3,.SAS1*/,57,SA(s)a: sp;Sy  LINER,0.587,0.008683,[]
NGC0078B,UM228,"('5.25417', '0.87972')","('5.11464', '0.83355')",189.1399684,5235.74,73.74284986,36.47,26.99,1.4919,0.436868166,42,140,68.3,.SBR0*.,80,S0^0^ pec?,0.098,0.018436,[]
UGC08186,SDSSJ130524.30+035731.0,"('196.35125', '3.95861')","('196.49433', '3.95644')",248.6567219,7298.15,99.8,52.84,12.68,1.1492,0.423988777,76,105,14.1,x,x,Scd(f),0.545,0.023369,[]
NGC0713,SDSSJ015530.02-085704.0,"('28.875', '-8.95111')","('28.83972', '-9.08375')",167.2386149,4960.81,69.87052328,27.27,7.64,x,0.380221013,73,95,80.3,x,x,Sc(f),0.1644,0.017475,[]
MCG-03-58-009,MRC2251-178,"('343.52458', '-17.58194')","('343.42021', '-17.47889')",320.0509932,8753.81,128,67.89,35.3,1.0739,0.365722514,58,175,39,.S?....,27,Sc,0.0661,0.030121,[]
MCG-04-26-019,H1101-232,"('165.90708', '-23.49194')","('165.70883', '-23.59161')",179.153512,3846.16,49.52,27.92,11.73,1.6304,0.341569016,65,35,26.3,PSXT2..,30,(R:)SA:(s)ab   HII,0.186,0.012086,[]
CGCG031-056,SDSSJ080838.80+051440.0,"('122.16167', '5.24444')","('122.06849', '5.21612')",223.2133956,9359.47,131.8235737,37.39,29.91,0.2088,0.328114728,36,85,12,x,x,x,0.361,0.030786,[]
NGC4517,HE1228+0131,"('187.70833', '1.25583')","('188.18996', '0.11503')",211.0427507,1420.44,9.765,32.78,4.15,0.0381,0.302843371,82,x,74.1,.SAS6*/,83,SA(s)cd: sp    HII,0.117,0.003764,[]
NGC4939,PG1302-102,"('196.3875', '-10.55556')","('196.05996', '-10.33961')",264.7658706,3381.83,39.118,43.66,30.12,8.3182,0.281977952,46,5,61.2,.SAS4..,10,SA(s)bc        Sy2,0.2784,0.010374,[]
2MASXJ11005006+1042257,4C10.3,"('165.19958', '10.77056')","('165.20864', '10.70738')",159.4102299,10163.65,143.1499334,20.06,9.91,x,0.261271485,60,35,43,.SXT4..,-99,x,0.42,0.03297,[]
MCG-05-01-020,RBS2070,"('359.7825', '-30.6275')","('359.90754', '-30.65583')",237.2931127,8677.05,122.2119212,34.6,18.69,x,0.24618591,57,115,10.2,x,x,E,0.165,0.029891,[]
NGC0988,NGC985,"('38.6575', '-8.7875')","('38.86563', '-9.35619')",180.9979924,1254.64,17.15,22.95,12.47,0.0039,0.237631247,57,x,x,.SBS6*.,-99,SB(s)cd:       HII,0.0431,0.005037,"[('LGG71', '16.2312018793', '1.219838272')]"
NGC4380,LBQS1220+1006,"('185.80042', '9.83861')","('186.34238', '10.01681')",195.8652921,1262.6,19.94,25.38,17.76,0.93,0.231172385,45,165,86.5,.SAT3*$,153,SA(rs)b:?;Sy   LINER,0.276,0.003212,[]
UGC08663,RX_J1342.1+0505,"('205.5275', '5.08972')","('205.41383', '5.03287')",226.0149665,7256.89,102.209717,30.52,26.86,3.061,0.220471704,28,35,28.3,x,x,S0-:,0.266,0.023266,[]
2dFGRSS357Z063,RBS2070,"('359.7825', '-30.6275')","('359.90758', '-30.65589')",239.1202735,8740.05,123.0992462,32.94,22.2,2.3845,0.217999895,47,x,x,x,x,x,0.165,0.0301,[]
NGC6868,PKS2005-489,"('302.35583', '-48.83139')","('302.47529', '-48.37956')",244.6648438,2719.61,30.562,31.12,24.89,0.2861,0.17820178,36,x,76.1,.E.2...,86,E2             LINER,0.071,0.00952,"[('LGG430', '40.1078771145', '2.37473714318')]"
UGC04239,SDSSJ080838.80+051440.0,"('122.16167', '5.24444')","('121.99208', '5.20667')",378.3226481,8893.11,125.2551175,55.81,40.18,x,0.15851862,43,115,37.6,x,x,S,0.361,0.02923,[]
NGC4246,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')","('184.49216', '7.18591')",333.6953643,4018.26,59.54,42.12,37.06,2.472,0.120870734,28,90,3.7,.SAS5..,83,SA(s)c,0.587,0.012409,[]
2MASXJ11005426+1041087,4C10.3,"('165.19958', '10.77056')","('165.2262', '10.68571')",213.8473985,9797.67,137.995377,21.21,9.75,0.1419,0.106824655,62,35,52.1,x,x,S0,0.42,0.031749,[]
SDSSJ021315.79-073942.7,SDSSJ021218.32-073719.8,"('33.07625', '-7.62222')","('33.31582', '-7.66188')",268.1771169,4531.79,63.82800065,28.29,18.11,0.2869,0.094072736,50,109,9.5,PSBT1..,-99,x,0.1739,0.016011,[]
NGC5363,SDSSJ135726.27+043541.4,"('209.35917', '4.59472')","('209.03004', '5.25477')",288.1392817,1414.64,22.4,30.4,22.49,3.0279,0.084516353,42,130,23.6,.I.0.$.,135,I0?            LINER,1.234,0.003799,[]
NGC3630,RX_J1121.2+0326,"('170.30917', '3.42944')","('170.07075', '2.96439')",236.1617344,1768.14,25.9,21.4,9.63,0.0821,0.067588797,63,37,9.9,.L..../,37,S0,0.152,0.004953,[]
NGC4233,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')","('184.28201', '7.6244')",260.3990517,2669.44,34.5,24.19,13.54,1.2948,0.062909499,55,175,20,.L..0..,174,S0^0^,0.587,0.007909,[]
2MASXJ06221396-6443403,IRAS_Z06229-6434,"('95.78208', '-64.60528')","('95.558', '-64.72783')",292.5967869,7649.61,107.7410167,28.21,25.07,1.6926,0.059322394,27,x,x,.L?....,-99,(RL)SAB0^0,0.1289,0.025728,[]
NGC4223,PG1216+069,"('184.83708', '6.64389')","('184.35755', '6.69007')",240.9483684,2532.96,28.85,20.9,8.64,x,0.055152611,65,x,32.5,.LAS+*.,128,SA(s)0+:;Sy    LINER,0.3313,0.007455,[]
CGCG045-071,RX_J1342.1+0505,"('205.5275', '5.08972')","('205.34403', '5.04011')",341.2155551,7330.01,103.2395554,33.99,9.51,2.0682,0.051290475,73,175,79.8,x,x,Sb(f),0.266,0.023508,"[('UZC554', '101.288102631', '1.73524340608')]"
NGC4316,LBQS1220+1006,"('185.80042', '9.83861')","('185.676', '9.33247')",293.3671093,1549.35,32.275,27.27,5.45,1.3596,0.051015835,78,110,83.6,.S..6?.,113,Sbc;Sy         LINER,0.276,0.00417,[]
NGC4536,HE1228+0131,"('187.70833', '1.25583')","('188.61271', '2.18814')",347.2467113,2102.59,15.321,33.87,14.26,0.0006,0.045446024,65,x,85.9,.SXT4..,130,SAB(rs)bc;HII  Sbrst,0.117,0.006031,[]
UGC05357,SDSSJ095915.60+050355.0,"('149.815', '5.06528')","('149.67404', '5.26436')",256.8563068,4289.35,60.41343169,20.9,5.85,x,0.037145955,73,50,85.2,x,x,Scd:,0.1626,0.013514,[]
NGC4536,3C273.0,"('187.27792', '2.05222')","('188.61271', '2.18814')",358.5279206,2102.59,15.321,33.87,14.26,0.0006,0.037055229,65,x,45.8,.SXT4..,130,SAB(rs)bc;HII  Sbrst,0.1583,0.006031,[]
NGC4527,3C273.0,"('187.27792', '2.05222')","('188.53509', '2.65366')",362.9471282,2031.05,14.932,34.39,11.69,0.0215,0.036632544,70,70,5.6,.SXS4..,67,SAB(s)bc;HII   LINER,0.1583,0.005791,[]
RFGC3781,RBS1768,"('324.70708', '-38.47778')","('324.43825', '-38.49256')",464.166338,8951.06,126.0713339,48.41,7.7,1.2132,0.034254538,80,x,x,x,x,Sb,0.183,0.030561,[]
NGC4260,PG1216+069,"('184.83708', '6.64389')","('184.84267', '6.09868')",384.4546253,2255.7,40.4,36.65,17.59,2.1297,0.033428385,61,45,45.6,.SBS1..,58,SB(s)a;Sy      LINER,0.3313,0.006531,[]
NGC4223,MS1217.0+0700,"('184.87875', '6.72611')","('184.35755', '6.69007')",261.2728811,2532.96,28.85,20.9,8.64,x,0.033136662,65,x,42,.LAS+*.,128,SA(s)0+:;Sy    LINER,0.08,0.007455,[]
NGC4517,3C273.0,"('187.27792', '2.05222')","('188.18996', '0.11503')",364.9041481,1420.44,9.765,32.78,4.15,0.0381,0.028121375,82,x,71.8,.SAS6*/,83,SA(s)cd: sp    HII,0.1583,0.003764,[]
2MASXJ15120762+0131241,SDSSJ151237.15+012846.0,"('228.155', '1.47944')","('228.03175', '1.52328')",282.077182,8774.54,123.5851046,22.53,9.08,x,0.027865947,66,175,65.4,x,x,x,0.265,0.028529,[]
NGC0768,MRK1014,"('29.95917', '0.39472')","('29.67056', '0.52922')",486.1589792,6752.26,87.483,48.61,14.51,0.6727,0.025217109,72,x,85,.SBR4*.,30,SB(r)bc:,0.163,0.023419,[]
NGC4442,LBQS1220+1006,"('185.80042', '9.83861')","('187.01618', '9.80371')",320.2797078,831.55,15.312,26.5,13.52,1.0808,0.024981939,59,83,8.7,.LBS0..,87,SB(s)0^0^,0.276,0.001775,[]
2MASXJ00413607-1044279,SDSSJ004222.29-103743.8,"('10.59292', '-10.62889')","('10.40036', '-10.74126')",325.2819241,6012.79,84.68720797,26.93,23.16,0.4659,0.024181958,30,45,14.3,x,x,x,0.4248,0.021055,[]
NGC6861,PKS2005-489,"('302.35583', '-48.83139')","('301.83117', '-48.37022')",320.3037097,2696.58,31.8,25.9,16.65,2.4344,0.022178255,50,x,3.2,.LAS-*.,140,SA(s)0-:,0.071,0.009437,[]
NGC4223,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')","('184.35755', '6.69007')",276.6392062,2532.96,28.85,20.9,8.64,x,0.021935088,65,x,32.1,.LAS+*.,128,SA(s)0+:;Sy    LINER,0.587,0.007455,[]
NGC3630,SDSSJ112224.10+031802.0,"('170.60042', '3.30056')","('170.07075', '2.96439')",283.2825093,1768.14,25.9,21.4,9.63,0.0821,0.020717917,63,37,20.6,.L..../,37,S0,0.475,0.004953,[]
2MFGC15350,PKS2005-489,"('302.35583', '-48.83139')","('302.39317', '-49.22147')",281.956287,3157.61,41.333,21.04,7.57,0.3545,0.019613844,68,55,58.6,.S..2?/,55,Sab? sp,0.071,0.010978,"[('LGG430', '40.1078771145', '2.37473714318')]"
NGC4235,MS1217.0+0700,"('184.87875', '6.72611')","('184.29117', '7.19158')",375.0905469,2708.22,28.8,31.71,10.78,2.2588,0.019250442,70,50,78.6,.SAS1./,48,SA(s)a         Sy1,0.08,0.008039,[]
DUKST471-050,RBS2070,"('359.7825', '-30.6275')","('359.84183', '-30.80211')",382.1183199,8545.31,120.3565125,32.21,8.75,x,0.018095895,74,x,x,x,x,x,0.165,0.02945,[]
2MASXJ06220168-6447421,IRAS_Z06229-6434,"('95.78208', '-64.60528')","('95.50692', '-64.795')",426.905755,7780.47,109.5841447,37.14,17.08,6.2518,0.016339502,62,20,11.9,x,x,Sa,0.1289,0.026165,[]
NGC4235,PG1216+069,"('184.83708', '6.64389')","('184.29117', '7.19158')",387.2910302,2708.22,28.8,31.71,10.78,2.2588,0.014825947,70,50,85.3,.SAS1./,48,SA(s)a         Sy1,0.3313,0.008039,[]
NGC4261,PG1216+069,"('184.83708', '6.64389')","('184.84675', '5.82522')",447.5462612,2535.53,31.32,37.35,32.8,x,0.011259152,28,x,19.3,.E.2+..,160,E2-3;LINER     Sy3,0.3313,0.007465,[]
NGC4527,HE1228+0131,"('187.70833', '1.25583')","('188.53509', '2.65366')",423.1750641,2031.05,14.932,34.39,11.69,0.0215,0.011160748,70,70,39.4,.SXS4..,67,SAB(s)bc;HII   LINER,0.117,0.005791,[]
NGC4260,MS1217.0+0700,"('184.87875', '6.72611')","('184.84267', '6.09868')",443.1308107,2255.7,40.4,36.65,17.59,2.1297,0.01094542,61,45,41.7,.SBS1..,58,SB(s)a;Sy      LINER,0.08,0.006531,[]
NGC4247,SDSSJ121640.60+071224.0,"('184.16917', '7.20667')","('184.492', '7.27395')",332.7414514,4136.31,58.2578288,23.22,19.97,0.2113,0.008405608,30,85,6.9,RSXS2P$,-99,(R)SAB(s)ab pec?,0.587,0.012802,[]
2MASXJ02411662-1856546,HE0238-1904,"('40.13583', '-18.86417')","('40.31931', '-18.94847')",350.8673792,7396.69,104.178673,24.7,17.29,0.3066,0.007601764,45,85,30.9,x,x,S,0.631,0.025514,[]
2MASXJ02412187-1856572,HE0238-1904,"('40.13583', '-18.86417')","('40.34117', '-18.94925')",395.047887,7577.74,106.728793,28.72,17.8,1.653,0.006581561,51,120,6.4,x,x,S              HII,0.631,0.026118,[]
2MASXJ20055352-4144240,RBS1666,"('301.47042', '-41.57833')","('301.47308', '-41.74')",364.8646634,9180.17,129.2981138,25.39,20.82,x,0.006222429,34,85,85.7,x,x,x,0.079,0.031075,[]
IC5325,RBS2000,"('351.18625', '-40.68028')","('352.18096', '-41.33347')",314.3353632,1246.2,18.1,20.45,18.61,0.9485,0.006207841,24,15,64.1,.SXT4..,-99,SAB(rs)bc,0.5,0.005013,"[('LGG472', '19.0675242541', '2.43668845184')]"
CGCG072-007,PG1307+085,"('197.44583', '8.32972')","('197.31227', '8.53172')",439.8537278,7413.25,104.411924,32.75,20.96,x,0.005541604,50,10,43.2,x,x,x,0.155,0.023746,[]
NGC4517A,HE1228+0131,"('187.70833', '1.25583')","('188.11732', '0.38967')",379.154268,1801.76,22.68,26.39,17.15,0.0041,0.005513778,49,x,55.3,.SBT8*.,30,SB(rs)dm:      HII,0.117,0.005032,[]
NGC4261,MS1217.0+0700,"('184.87875', '6.72611')","('184.84675', '5.82522')",492.7667708,2535.53,31.32,37.35,32.8,x,0.004343676,28,x,22,.E.2+..,160,E2-3;LINER     Sy3,0.08,0.007465,[]
2MASXJ06214931-6443191,IRAS_Z06229-6434,"('95.78208', '-64.60528')","('95.45538', '-64.72194')",397.3996994,8878.39,125.0477604,26.61,13.31,2.997,0.00352463,60,85,34.8,x,x,SBb,0.1289,0.029827,[]
NGC5786,QSO1500-4140,"('225.89167', '-41.87333')","('224.73442', '-42.01336')",400.3026668,3124.36,26.299999,26.57,12.22,19.5616,0.003206079,62,80,0.8,PSBS4..,63,(R'_2)SAB(s)bc,0.335,0.01,[]
NGC1566,HE0429-5343,"('67.66667', '-53.61556')","('65.00175', '-54.93781')",421.6889476,1360.57,11.834,28.57,22.72,x,0.003134189,37,x,9.9,.SXS4..,60,(R'_1)SAB(rs)bcSy1,0.04,0.005017,"[('LGG114', '18.6300428986', '1.72617861283')]"
NGC3640,SDSSJ112005.00+041323.0,"('170.02083', '4.22306')","('170.27854', '3.23483')",432.1904123,1534.68,24.25,29.6,23.68,0.1905,0.003128394,36,100,65.4,.E.3...,100,E3,0.545,0.004173,[]
2MASXJ02001568+0011574,MRK1014,"('29.95917', '0.39472')","('30.0653', '0.19924')",358.5067078,6556.65,92.34725101,22.39,16.57,14.7012,0.002928177,42,110,41.5,x,x,x,0.163,0.022767,[]
NGC4307,LBQS1220+1006,"('185.80042', '9.83861')","('185.52368', '9.04363')",340.717285,1391.24,23.225,20.65,3.72,0.0511,0.00276385,79,25,6.1,.S..3./,24,Sb;LINER       HII,0.276,0.003643,[]
IC3255,LBQS1220+1006,"('185.80042', '9.83861')","('185.89475', '9.64861')",351.7880281,6765.47,95.28834488,21.48,18.04,0.3594,0.002611635,32,155,1.1,x,x,Sbc(s)II,0.276,0.021567,"[('UZC486', '103.220778349', '5.9786354291')]"
NGC2855,3C218,"('139.52375', '-12.09528')","('140.36454', '-11.9095')",387.0154279,2080.37,26.299999,23.7,18.96,1.0152,0.001864096,36,125,47.7,RSAT0..,-99,(R)SA(rs)0/a  LINER?,0.054,0.006328,[]
NGC2962,SDSSJ094331.60+053131.0,"('145.88167', '5.52528')","('145.22473', '5.16581')",445.1739485,2189.95,34.175,28.98,15.07,1.8866,0.001835688,58,0,61.2,RLXT+..,3,(R)SAB(rs)0+,0.5643,0.006558,[]
SDSSJ124044.25+093838.7,LBQS1238+1006,"('190.14792', '9.82806')","('190.18438', '9.64411')",352.6927094,7655,107.8168746,20.61,11.95,x,0.001783031,54,156,12.9,x,x,x,1.045,0.024537,[]
NGC3621,PKS1101-325,"('165.88167', '-32.855')","('169.56879', '-32.81406')",365.4281784,928.34,6.758,21.36,10.25,0.7008,0.00155269,61,164,74.8,.SAS7..,159,SA(s)d         HII,0.3555,0.002435,[]
NGC6861D,PKS2005-489,"('302.35583', '-48.83139')","('302.08117', '-48.21142')",400.3232469,2499.67,35.5,23.75,8.26,0.0681,0.001224639,69,x,9.7,.LAS-*.,154,SA(s)0-:,0.071,0.008783,"[('LGG430', '40.1078771145', '2.37473714318')]"
SDSSJ122929.52+021150.4,3C273.0,"('187.27792', '2.05222')","('187.373', '2.19736')",400.6685825,9395.73,132.3342728,23.18,12.05,0.2959,0.000962797,58,144,69.2,x,x,x,0.1583,0.030358,[]
ESO107-G037,IRAS_F21325-6237,"('324.09667', '-62.4')","('323.94673', '-62.77729')",385.3637826,4087.21,57.56635638,21.59,17.06,0.131,0.000835755,37,161,29.4,x,x,SAB(rs)b:,0.0588,0.01416,[]
NGC5356,SDSSJ135726.27+043541.4,"('209.35917', '4.59472')","('208.74358', '5.33372')",400.5849919,1650.24,23.9,21.02,6.73,0.3942,0.000354026,71,15,54.7,.SX.4*/,15,SABbc: sp      HII,1.234,0.004583,[]
2MASXJ06215512-6449011,IRAS_Z06229-6434,"('95.78208', '-64.60528')","('95.47979', '-64.81689')",499.5397573,8197.41,115.4564325,28.83,12.68,x,0.000338786,63,55,23.5,x,x,S0,0.1289,0.027556,[]
MCG-07-45-002,RBS1795,"('328.7125', '-44.23472')","('329.82433', '-43.86703')",490.6308445,2269.03,31.95813694,28.03,4.48,0.1431,0.000331162,80,55,10.2,.S..4./,53,Scd,0.344,0.008286,[]
NGC1566,1H0419-577,"('66.50333', '-57.20028')","('65.00175', '-54.93781')",498.3013034,1360.57,11.834,28.57,22.72,x,0.000318912,37,x,79.8,.SXS4..,60,(R'_1)SAB(rs)bcSy1,0.104,0.005017,"[('LGG114', '18.6300428986', '1.72617861283')]"
NGC2228,IRAS_Z06229-6434,"('95.78208', '-64.60528')","('95.31475', '-64.45883')",439.8663156,7196.19,101.3547303,23.59,20.64,2.5588,0.000282726,29,x,x,.LA.0*.,-99,SA0^0^:,0.1289,0.024217,[]
2MASXJ11383327-1344240,HE1136-1334,"('174.79458', '-13.84528')","('174.6386', '-13.74015')",443.2814439,9779.72,137.7424967,23.11,15.25,5.7781,0.000196039,48,40,84.8,x,x,x,0.558,0.031749,[]
CGCG039-137,SDSSJ112224.10+031802.0,"('170.60042', '3.30056')","('170.36231', '3.44491')",491.2464499,7185.99,101.2111385,26.35,9.48,0.1558,0.000158738,68,145,23.7,x,x,x,0.475,0.023022,[]
UGC08153,SDSSJ130524.30+035731.0,"('196.35125', '3.95861')","('195.77465', '3.99188')",425.3744992,3155.77,42.299999,20.64,18.37,0.5033,0.00010221,27,x,x,.S..7..,-99,Sd,0.545,0.00955,[]
2MASXJ06215821-6422591,IRAS_Z06229-6434,"('95.78208', '-64.60528')","('95.49246', '-64.38311')",469.4491484,7495.61,105.5719326,23.19,11.59,6.5249,7.27E-05,60,90,60.8,x,x,x,0.1289,0.025214,[]
KUG0156-001,MRK1014,"('29.95917', '0.39472')","('29.79728', '0.10978')",446.1410499,5538.01,78.0001575,20.77,16.82,0.4573,4.45E-05,35,18,11.6,x,x,Compact,0.163,0.01937,[]
2MASXJ06214352-6447321,IRAS_Z06229-6434,"('95.78208', '-64.60528')","('95.43125', '-64.79231')",467.947694,7941.31,111.8494495,21.31,14.92,20.5604,2.39E-05,45,110,71.2,x,x,SBa,0.1289,0.026702,[]
UGC00726,LBQS0107-0233,"('17.56792', '-2.31417')","('17.48983', '-1.74969')",499.7784174,3567.78,50.25048516,23.36,13.31,0.6166,2.27E-05,55,144,28.1,.SBS7?.,144,SB(s)d?,0.956,0.012866,[]
2MASXJ15095716+0712530,SDSSJ150928.30+070235.0,"('227.36792', '7.04306')","('227.48829', '7.21465')",492.5161836,9583.33,134.9764991,20.74,15.76,x,4.85E-06,40,10,24.8,x,x,E,0.418,0.031206,[]
SDSSJ082644.50+073017.5,RX_J0826.5+0742,"('126.63958', '7.71333')","('126.68542', '7.50488')",488.1687691,9308.28,131.1025791,20.03,9.01,x,3.33E-06,63,13,25.3,x,x,x,0.312,0.030537,[]
IC1761,MRK1014,"('29.95917', '0.39472')","('29.71788', '0.5683')",492.273862,6737.4,94.89300155,20.2,16.97,1.2401,3.12E-06,32,50,75.7,x,x,S0?,0.163,0.023368,[]
